'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for August 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 September 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/08/2017,2.5,0.0, ,23.4,9.6,86,21,1.23,16.09
BRISBANE,02/08/2017,2.3,0.0, ,22.7,9.2,86,37,1.09,15.98
BRISBANE,03/08/2017,2.1,0.0, ,22.9,10.6,87,48,0.88,14.52
BRISBANE,04/08/2017,3.0,0.0, ,22.5,14.0,87,37,2.40,16.39
BRISBANE,05/08/2017,2.6,0.0, ,23.1,9.0,83,29,1.33,16.50
BRISBANE,06/08/2017,2.4,0.0, ,24.9,9.4,89,38,1.09,15.68
BRISBANE,07/08/2017,3.0,2.4, ,26.3,13.4,95,21,1.56,16.26
BRISBANE,08/08/2017,3.3,0.0, ,22.8,10.1,60,20,2.11,16.85
BRISBANE,09/08/2017,2.5,0.0, ,24.1,9.1,86,17,0.95,16.95
BRISBANE,10/08/2017,2.5,0.0, ,24.1,7.8,91,34,1.09,17.05
BRISBANE,11/08/2017,2.5,0.0, ,26.2,8.7,95,43,0.81,17.17
BRISBANE,12/08/2017,2.5,0.0, ,29.0,10.4,97,27,0.79,14.95
BRISBANE,13/08/2017,2.7,0.0, ,26.6,12.1,91,33,0.93,17.29
BRISBANE,14/08/2017,2.7,0.0, ,26.9,12.5,91,27,0.85,17.14
BRISBANE,15/08/2017,3.0,0.0, ,27.3,11.4,94,22,1.19,17.66
BRISBANE,16/08/2017,3.1,0.0, ,28.6,10.4,90,41,1.33,17.78
BRISBANE,17/08/2017,3.6,0.0, ,32.3,14.5,97,21,1.34,17.89
BRISBANE,18/08/2017,4.5,0.0, ,25.9,13.6,56,13,2.78,17.95
BRISBANE,19/08/2017,4.2,0.4, ,20.7,11.6,38,17,2.96,18.09
BRISBANE,20/08/2017,2.9,0.0, ,21.8,9.3,86,27,1.57,18.20
BRISBANE,21/08/2017,2.6,0.0, ,22.1,8.5,82,37,1.23,16.38
BRISBANE,22/08/2017,2.8,0.0, ,24.9,12.6,95,48,1.14,17.15
BRISBANE,23/08/2017,2.8,0.2, ,26.7,13.8,96,48,0.95,16.87
BRISBANE,24/08/2017,2.3,0.0, ,24.4,15.6,90,57,1.18,12.27
BRISBANE,25/08/2017,2.9,2.2, ,22.9,11.7,81,39,1.53,16.90
BRISBANE,26/08/2017,3.4,0.0, ,23.9,12.5,71,31,1.76,18.89
BRISBANE,27/08/2017,2.7,0.0, ,23.7,10.4,92,45,1.05,17.31
BRISBANE,28/08/2017,3.2,0.0, ,23.0,7.5,95,19,1.47,19.31
BRISBANE,29/08/2017,2.9,0.0, ,22.1,8.9,90,34,1.25,19.07
BRISBANE,30/08/2017,3.5,0.0, ,25.8,11.3,91,12,1.43,19.45
BRISBANE,31/08/2017,3.1,0.0, ,23.3,9.8,69,32,1.44,17.79
Totals:,,90.1,5.2, ,,,,,, 
