'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for September 2017,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 October 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/09/2017,3.2,0.0, ,24.2,11.6,79,32,1.22,19.26
BRISBANE,02/09/2017,3.1,0.0, ,24.6,12.9,89,44,1.05,19.53
BRISBANE,03/09/2017,3.6,0.0, ,27.1,12.9,92,40,1.52,19.84
BRISBANE,04/09/2017,3.4,0.0, ,28.4,14.4,91,42,1.01,19.81
BRISBANE,05/09/2017,4.4,0.0, ,27.5,13.4,92,14,2.16,20.38
BRISBANE,06/09/2017,4.2,0.0, ,27.0,8.2,60,13,1.82,20.50
BRISBANE,07/09/2017,4.1,0.0, ,27.1,12.1,66,13,1.64,20.62
BRISBANE,08/09/2017,3.9,0.0, ,26.7,9.9,67,15,1.53,20.74
BRISBANE,09/09/2017,3.6,0.0, ,24.9,11.4,64,16,1.23,20.57
BRISBANE,10/09/2017,3.4,0.0, ,23.9,11.6,78,39,1.25,20.79
BRISBANE,11/09/2017,3.7,0.0, ,25.7,12.6,88,40,1.54,21.13
BRISBANE,12/09/2017,3.7,0.0, ,27.9,13.4,95,42,1.16,21.06
BRISBANE,13/09/2017,3.7,0.0, ,27.1,14.8,97,49,1.63,20.53
BRISBANE,14/09/2017,4.8,0.0, ,23.3,18.1,81,22,3.62,19.31
BRISBANE,15/09/2017,3.9,0.0, ,24.6,8.6,57,18,1.51,21.66
BRISBANE,16/09/2017,3.9,0.0, ,27.1,9.5,80,18,1.33,21.90
BRISBANE,17/09/2017,3.4,0.0, ,24.4,13.5,86,45,1.72,18.06
BRISBANE,18/09/2017,3.6,0.0, ,24.5,13.1,89,42,1.30,21.03
BRISBANE,19/09/2017,4.1,0.0, ,28.1,12.5,88,35,1.44,22.27
BRISBANE,20/09/2017,4.1,0.0, ,25.9,16.2,91,44,1.69,22.41
BRISBANE,21/09/2017,3.8,0.0, ,25.9,14.9,87,52,1.82,20.85
BRISBANE,22/09/2017,4.2,0.0, ,28.2,18.1,92,48,1.68,21.29
BRISBANE,23/09/2017,4.2,6.0, ,28.6,15.4,91,50,1.42,23.22
BRISBANE,24/09/2017,4.5,0.0, ,29.2,15.5,89,46,1.78,23.26
BRISBANE,25/09/2017,4.6,0.0, ,29.9,18.5,87,45,1.63,23.45
BRISBANE,26/09/2017,4.2,0.0, ,30.5,18.4,94,28,1.78,17.30
BRISBANE,27/09/2017,2.6,0.0, ,25.5,17.7,91,58,1.56,10.76
BRISBANE,28/09/2017,4.7,0.0, ,30.8,18.9,90,46,1.43,23.94
BRISBANE,29/09/2017,5.3,0.0, ,37.0,18.1,95,20,1.32,24.22
BRISBANE,30/09/2017,5.3,0.0, ,34.1,18.5,87,18,1.56,23.99
Totals:,,119.2,6, ,,,,,, 
