'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for October 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 November 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/10/2017,3.0,0.0, ,25.9,17.7,90,30,1.55,10.76
BRISBANE,02/10/2017,1.9,6.6, ,22.2,15.8,94,60,1.81,6.07
BRISBANE,03/10/2017,3.5,30.4, ,27.1,16.4,95,54,1.26,17.94
BRISBANE,04/10/2017,3.5,3.4, ,28.5,19.0,95,55,1.30,17.09
BRISBANE,05/10/2017,4.9,0.0, ,30.1,19.0,93,44,1.46,25.11
BRISBANE,06/10/2017,4.7,0.0, ,30.7,19.5,92,51,1.39,23.40
BRISBANE,07/10/2017,2.7,11.2, ,24.1,20.3,83,57,2.06,9.57
BRISBANE,08/10/2017,3.6,0.0, ,27.4,19.1,85,53,1.22,17.71
BRISBANE,09/10/2017,4.2,0.0, ,29.1,20.4,86,55,1.31,20.30
BRISBANE,10/10/2017,5.6,0.0, ,33.1,21.4,91,38,1.78,25.39
BRISBANE,11/10/2017,3.6,0.0, ,28.8,22.3,85,64,1.77,16.01
BRISBANE,12/10/2017,1.6,0.0, ,25.4,22.3,89,75,0.73,5.91
BRISBANE,13/10/2017,4.6,2.0, ,29.9,21.0,97,53,1.28,22.57
BRISBANE,14/10/2017,2.5,0.0, ,27.0,21.2,94,64,1.35,10.27
BRISBANE,15/10/2017,2.4,25.8, ,22.6,18.0,94,71,2.11,10.91
BRISBANE,16/10/2017,2.1,26.4, ,22.6,17.3,94,73,2.40,8.69
BRISBANE,17/10/2017,2.1,4.6, ,22.8,18.9,93,73,3.29,7.17
BRISBANE,18/10/2017,2.8,12.4, ,23.9,18.3,95,67,2.81,12.42
BRISBANE,19/10/2017,3.3,1.8, ,24.6,17.0,94,60,1.64,16.31
BRISBANE,20/10/2017,3.7,0.0, ,26.4,18.5,88,49,1.09,18.31
BRISBANE,21/10/2017,1.3,3.8, ,20.4,18.6,92,73,0.94,4.22
BRISBANE,22/10/2017, ,11.4, , ,13.9,100,36,1.39,26.02
BRISBANE,23/10/2017, ,2.8, ,22.7, ,91,55,1.31,17.28
BRISBANE,24/10/2017,4.6,0.2, ,25.6,14.2,87,49,1.46,25.75
BRISBANE,25/10/2017,5.1,0.0, ,27.3,15.2,90,48,1.64,27.96
BRISBANE,26/10/2017, ,0.0, , ,18.1,84,45,1.65,27.27
BRISBANE,27/10/2017, ,0.8, ,30.3, ,100,24,2.96,28.08
BRISBANE,28/10/2017,5.2,0.0, ,28.9,17.8,94,45,1.52,27.00
BRISBANE,29/10/2017,5.7,0.0, ,30.5,21.6,86,57,1.68,28.02
BRISBANE,30/10/2017,5.0,5.2, ,30.6,21.6,91,54,1.50,23.90
BRISBANE,31/10/2017,6.4,0.0, ,29.7,21.7,85,19,2.42,27.99
Totals:,,99.6,148.8, ,,,,,, 
