'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for November 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 December 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/11/2017, ,0.0, , ,16.6,81,52,1.34,22.74
BRISBANE,02/11/2017, , , ,28.2, ,89,38,1.63,26.52
BRISBANE,03/11/2017,5.1,0.0, ,28.6,18.2,91,45,1.59,25.51
BRISBANE,04/11/2017,5.7,0.0, ,29.7,18.4,88,45,1.60,29.04
BRISBANE,05/11/2017,5.1,0.0, ,28.9,21.5,87,49,1.71,24.65
BRISBANE,06/11/2017,4.1,0.0, ,28.3,20.4,90,57,1.93,18.70
BRISBANE,07/11/2017,4.3,4.8, ,28.0,18.9,91,51,2.13,19.16
BRISBANE,08/11/2017,4.4,0.0, ,25.6,18.3,82,44,2.61,18.31
BRISBANE,09/11/2017,5.2,1.0, ,24.7,15.2,80,40,2.68,25.73
BRISBANE,10/11/2017,4.5,0.0, ,24.5,16.3,86,51,2.30,22.65
BRISBANE,11/11/2017,3.8,2.8, ,25.6,16.4,90,47,1.95,17.21
BRISBANE,12/11/2017,5.0,1.0, ,25.8,15.3,92,38,2.12,25.43
BRISBANE,13/11/2017,5.0,0.2, ,26.1,14.6,84,40,2.00,25.36
BRISBANE,14/11/2017,5.3,0.0, ,26.5,14.7,84,36,1.72,27.80
BRISBANE,15/11/2017,4.3,0.0, ,26.8,16.4,82,48,1.57,20.63
BRISBANE,16/11/2017,5.3,0.0, ,28.0,16.4,92,44,1.57,27.67
BRISBANE,17/11/2017,4.8,0.0, ,27.0,17.6,85,42,1.72,23.58
BRISBANE,18/11/2017,1.5,9.0, ,24.1,17.9,95,72,0.99,4.72
BRISBANE,19/11/2017,3.2,28.4, ,24.0,15.9,96,52,1.36,15.60
BRISBANE,20/11/2017,5.1,5.8, ,26.5,16.9,87,46,2.11,25.60
BRISBANE,21/11/2017,4.8,1.8, ,25.9,17.4,90,48,2.38,23.39
BRISBANE,22/11/2017,4.6,0.4, ,25.5,16.7,78,45,2.20,21.37
BRISBANE,23/11/2017,4.7,0.0, ,26.5,16.4,89,50,1.62,23.91
BRISBANE,24/11/2017,5.6,1.2, ,28.8,17.4,89,46,1.86,28.36
BRISBANE,25/11/2017,5.1,0.0, ,28.7,18.6,86,52,1.96,24.20
BRISBANE,26/11/2017, ,0.0, ,29.5,19.7,87,49,1.90, 
BRISBANE,27/11/2017,5.4,0.0, ,29.0,19.8,89,54,1.91,26.39
BRISBANE,28/11/2017,5.0,0.0, ,29.2,20.2,91,57,1.77,24.00
BRISBANE,29/11/2017,1.6,18.2, ,26.7,21.4,95,77,1.43,5.38
BRISBANE,30/11/2017,4.3,28.0, ,27.5,20.1,94,66,2.13,20.68
Totals:,,122.8,102.6, ,,,,,, 
