'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for January 2018,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 February 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/01/2018,4.8,0.4, ,32.1,24.2,88,61,1.12,21.73
BRISBANE,02/01/2018,3.4,0.0, ,30.8,23.4,92,64,1.51,13.64
BRISBANE,03/01/2018,5.5,4.8, ,31.2,21.7,91,50,1.78,24.88
BRISBANE,04/01/2018,4.7,0.0, ,29.5,21.0,86,51,1.63,21.47
BRISBANE,05/01/2018,5.0,0.0, ,29.5,22.2,78,56,1.73,22.33
BRISBANE,06/01/2018, ,0.0, , ,20.7,82,45,1.47,30.84
BRISBANE,07/01/2018, , , , , ,85,47,1.57,31.25
BRISBANE,08/01/2018, , , ,32.4, ,81,38,2.05,31.33
BRISBANE,09/01/2018,6.7,0.0, ,32.1,22.3,79,39,1.86,30.74
BRISBANE,10/01/2018,6.6,0.0, ,32.3,22.0,84,40,1.64,30.80
BRISBANE,11/01/2018, ,0.0, , ,23.7,79,48,1.55,28.28
BRISBANE,12/01/2018, , , ,32.6, ,78,48,1.64,27.51
BRISBANE,13/01/2018,6.9,0.0, ,35.6,24.0,81,43,1.81,29.76
BRISBANE,14/01/2018,7.9,0.2, ,37.5,24.2,82,20,2.78,28.20
BRISBANE,15/01/2018, ,0.0, , ,17.4,63,28,1.86,29.09
BRISBANE,16/01/2018, , , ,31.1, ,73,30,2.46,30.11
BRISBANE,17/01/2018,6.3,0.0, ,29.4,18.3,74,28,1.83,30.84
BRISBANE,18/01/2018,6.2,0.0, ,30.0,19.5,75,36,1.60,30.77
BRISBANE,19/01/2018,6.2,0.0, ,31.4,17.4,87,29,1.49,30.59
BRISBANE,20/01/2018,6.4,0.0, ,32.2,19.1,84,39,1.99,30.06
BRISBANE,21/01/2018,4.8,0.0, ,30.2,21.1,79,49,1.94,20.36
BRISBANE,22/01/2018,5.3,0.0, ,31.7,20.8,88,46,1.00,25.42
BRISBANE,23/01/2018,6.0,0.0, ,32.3,20.3,90,42,1.18,29.20
BRISBANE,24/01/2018,5.7,0.0, ,31.6,22.4,90,49,1.88,26.14
BRISBANE,25/01/2018, ,8.6, , ,23.6,91,56,1.70,28.42
BRISBANE,26/01/2018, , , ,32.5, ,89,42,1.76,27.40
BRISBANE,27/01/2018,6.1,0.0, ,32.8,24.3,86,48,2.53,25.75
BRISBANE,28/01/2018,4.5,2.4, ,30.2,23.6,86,54,1.85,19.01
BRISBANE,29/01/2018,5.5,7.8, ,31.5,21.8,88,46,2.31,23.19
BRISBANE,30/01/2018,5.3,1.6, ,32.7,22.5,83,48,1.95,22.38
BRISBANE,31/01/2018,6.3,0.0, ,34.7,22.3,90,42,1.77,27.52
Totals:,,126.1,25.8, ,,,,,, 
