'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for February 2018,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 March 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/02/2018,2.5,4.2, ,25.5,21.3,87,55,2.23,7.12
BRISBANE,02/02/2018,1.6,11.2, ,21.7,18.5,93,82,1.30,6.64
BRISBANE,03/02/2018,1.5,6.2, ,22.8,18.8,92,79,1.10,5.16
BRISBANE,04/02/2018,5.3,7.2, ,28.0,17.8,90,44,2.55,24.68
BRISBANE,05/02/2018, ,1.0, , ,18.4,85,35,2.38,27.81
BRISBANE,06/02/2018, , , , , ,85,41,2.11,23.95
BRISBANE,07/02/2018, , , ,29.3, ,76,30,2.19,27.14
BRISBANE,08/02/2018,5.0,0.0, ,29.0,18.6,80,41,2.21,21.75
BRISBANE,09/02/2018,5.7,0.0, ,31.2,18.3,84,38,1.47,28.04
BRISBANE,10/02/2018,5.9,0.0, ,32.8,19.4,89,39,1.46,28.25
BRISBANE,11/02/2018,6.3,1.0, ,34.5,22.7,90,47,1.82,28.23
BRISBANE,12/02/2018,6.1,6.6, ,33.5,20.9,87,45,1.74,28.39
BRISBANE,13/02/2018,5.0,0.0, ,33.0,26.3,91,59,1.87,21.25
BRISBANE,14/02/2018,5.9,13.0, ,33.0,21.8,91,57,1.60,28.32
BRISBANE,15/02/2018, ,0.0, , ,24.6,89,50,1.82,21.68
BRISBANE,16/02/2018, ,0.0, ,33.0, ,87,58,1.56,20.83
BRISBANE,17/02/2018,4.9,17.0, ,31.5,22.5,93,53,1.85,22.01
BRISBANE,18/02/2018, ,0.0, , ,22.4,90,47,1.54,23.99
BRISBANE,19/02/2018,5.9, , ,33.0,20.4,84,34,1.67,27.56
BRISBANE,20/02/2018, , , , ,23.3,84,38,2.53,20.22
BRISBANE,21/02/2018, , , ,27.6, ,79,55,3.31,9.63
BRISBANE,22/02/2018,2.7,0.2, ,26.7,20.7,94,59,2.54,8.86
BRISBANE,23/02/2018,1.4,62.8, ,26.4,22.2,96,85,2.13,4.18
BRISBANE,24/02/2018,3.3,135.8, ,29.1,22.1,96,73,1.04,15.49
BRISBANE,25/02/2018, ,19.0, , ,23.1,95,64,1.21,21.89
BRISBANE,26/02/2018, , , , , ,95,57,1.42,23.79
BRISBANE,27/02/2018, , , ,28.5, ,89,57,1.99,12.28
BRISBANE,28/02/2018, ,0.2, , ,19.9,86,49,1.49,22.51
Totals:,,69,285.4, ,,,,,, 
