'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for March 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 April 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/03/2018, , , , , ,88,39,1.26,25.99
BRISBANE,02/03/2018, , , ,29.1, ,79,62,2.11,11.43
BRISBANE,03/03/2018,3.5,0.8, ,30.6,24.0,90,61,1.20,15.12
BRISBANE,04/03/2018,5.0,0.2, ,34.7,24.3,87,44,1.03,22.90
BRISBANE,05/03/2018,2.6,2.4, ,29.4,23.6,91,70,1.29,10.52
BRISBANE,06/03/2018,1.4,57.4, ,24.0,20.5,96,82,1.44,5.22
BRISBANE,07/03/2018,3.0,11.0, ,26.1,18.8,93,57,2.53,11.49
BRISBANE,08/03/2018,3.6,5.8, ,26.6,19.0,84,55,2.67,14.49
BRISBANE,09/03/2018,3.9,1.6, ,27.4,19.1,88,49,2.55,15.90
BRISBANE,10/03/2018,3.8,0.6, ,26.7,20.1,89,54,2.25,17.00
BRISBANE,11/03/2018,3.1,2.8, ,25.7,18.8,89,64,1.57,15.28
BRISBANE,12/03/2018,4.1,2.2, ,28.6,18.3,88,48,1.64,19.66
BRISBANE,13/03/2018,2.9,0.0, ,27.3,19.2,91,59,2.03,11.70
BRISBANE,14/03/2018,4.6,5.8, ,28.7,20.5,93,48,2.45,21.50
BRISBANE,15/03/2018,4.1,0.4, ,29.4,20.2,87,51,1.69,19.07
BRISBANE,16/03/2018,4.7,0.0, ,30.6,18.5,91,44,1.42,24.00
BRISBANE,17/03/2018,4.7,0.0, ,31.0,20.5,89,45,1.27,23.74
BRISBANE,18/03/2018,4.0,0.0, ,31.2,21.1,91,57,1.31,19.21
BRISBANE,19/03/2018,4.2,0.0, ,31.4,21.9,94,54,1.39,19.78
BRISBANE,20/03/2018,4.4,0.2, ,29.8,20.7,95,49,1.72,21.17
BRISBANE,21/03/2018,2.9,13.6, ,25.8,21.2,94,68,2.02,13.73
BRISBANE,22/03/2018,3.8,28.0, ,27.6,20.4,93,57,2.15,18.41
BRISBANE,23/03/2018,3.5,6.0, ,28.3,19.7,94,53,1.84,16.07
BRISBANE,24/03/2018,3.7,0.2, ,27.7,20.5,90,54,1.39,18.45
BRISBANE,25/03/2018,2.9,0.2, ,28.1,19.5,92,62,1.16,13.71
BRISBANE,26/03/2018,3.2,1.0, ,29.2,21.9,95,64,0.80,15.89
BRISBANE,27/03/2018,2.2,0.2, ,28.3,23.7,94,66,1.51,7.93
BRISBANE,28/03/2018,4.6,1.2, ,30.9,20.9,87,45,2.19,20.48
BRISBANE,29/03/2018,2.9,2.0, ,28.7,21.0,93,68,1.94,12.57
BRISBANE,30/03/2018,3.1,1.0, ,29.1,21.1,92,62,1.55,13.89
BRISBANE,31/03/2018,4.0,0.4, ,29.3,20.7,93,52,1.83,19.11
Totals:,,104.4,145, ,,,,,, 
