'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for April 2018,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 May 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/04/2018,3.0,0.0, ,28.9,20.1,90,61,1.58,13.23
BRISBANE,02/04/2018,3.7,0.4, ,28.6,20.7,93,58,1.50,19.14
BRISBANE,03/04/2018,3.4,0.0, ,28.0,19.8,92,50,1.76,15.69
BRISBANE,04/04/2018,2.7,4.2, ,26.3,20.1,92,62,1.98,12.09
BRISBANE,05/04/2018,3.6,3.2, ,28.1,18.2,93,48,1.75,17.52
BRISBANE,06/04/2018,3.9,1.8, ,27.8,18.2,88,42,1.94,19.45
BRISBANE,07/04/2018,3.8,3.2, ,28.1,18.7,93,45,1.65,19.47
BRISBANE,08/04/2018,3.4,2.4, ,27.8,18.6,91,49,1.36,17.32
BRISBANE,09/04/2018,3.6,0.0, ,29.3,17.6,92,49,0.96,20.05
BRISBANE,10/04/2018,3.9,0.0, ,30.1,17.6,94,46,1.92,18.86
BRISBANE,11/04/2018,3.5,0.2, ,27.2,19.9,82,45,1.69,17.37
BRISBANE,12/04/2018,2.5,0.0, ,26.1,17.6,85,52,1.07,11.72
BRISBANE,13/04/2018,3.1,0.6, ,27.8,18.1,88,47,1.32,15.41
BRISBANE,14/04/2018,2.1,0.0, ,28.0,18.8,92,59,0.72,9.44
BRISBANE,15/04/2018,3.4,0.2, ,30.4,18.3,95,52,0.90,19.07
BRISBANE,16/04/2018,3.4,0.0, ,32.0,15.1,93,29,0.86,19.22
BRISBANE,17/04/2018,3.7,0.0, ,30.8,16.7,84,35,1.55,18.16
BRISBANE,18/04/2018,2.2,5.2, ,24.7,19.4,91,58,1.43,9.23
BRISBANE,19/04/2018,2.9,1.2, ,27.2,18.4,85,55,1.31,14.64
BRISBANE,20/04/2018,2.2,0.2, ,27.7,18.9,92,57,1.00,9.84
BRISBANE,21/04/2018,2.4,10.0, ,26.7,17.5,94,57,1.35,11.25
BRISBANE,22/04/2018,2.8,0.2, ,25.8,17.2,88,54,1.77,13.57
BRISBANE,23/04/2018,2.8,0.0, ,28.0,16.9,88,46,1.21,14.13
BRISBANE,24/04/2018,3.1,1.4, ,27.2,16.4,86,40,1.21,17.54
BRISBANE,25/04/2018,2.8,1.2, ,27.7,17.5,91,47,0.93,16.49
BRISBANE,26/04/2018,3.0,0.0, ,29.1,18.1,92,48,0.97,17.15
BRISBANE,27/04/2018,2.9,0.0, ,27.5,18.3,90,45,1.54,14.71
BRISBANE,28/04/2018,2.9,0.0, ,25.5,16.6,77,49,1.70,15.15
BRISBANE,29/04/2018,2.9,0.4, ,26.1,15.8,81,46,1.78,14.73
BRISBANE,30/04/2018,2.7,0.0, ,25.5,14.9,82,46,1.73,13.36
Totals:,,92.3,36, ,,,,,, 
