'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for August 2018,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 September 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/08/2018,2.3,0.0, ,24.7,7.0,88,16,0.89,16.04
BRISBANE,02/08/2018,2.4,0.0, ,23.0,9.1,91,33,1.25,15.54
BRISBANE,03/08/2018,2.4,0.0, ,23.9,11.1,88,40,1.22,16.09
BRISBANE,04/08/2018,2.5,0.0, ,27.1,11.7,93,31,0.94,16.32
BRISBANE,05/08/2018,2.6,0.0, ,25.3,10.3,94,25,1.23,16.42
BRISBANE,06/08/2018,2.6,0.0, ,27.6,11.5,98,39,1.14,16.22
BRISBANE,07/08/2018,3.5,2.8, ,22.9,15.9,63,17,2.41,14.28
BRISBANE,08/08/2018,2.4,0.2, ,22.6,7.0,66,21,1.02,16.80
BRISBANE,09/08/2018,2.4,0.0, ,23.0,7.3,77,20,0.92,16.91
BRISBANE,10/08/2018,2.6,0.0, ,23.4,9.5,88,35,1.31,16.18
BRISBANE,11/08/2018,2.7,0.0, ,24.9,11.0,88,34,1.24,16.41
BRISBANE,12/08/2018,3.4,0.0, ,24.4,11.6,94,15,2.17,17.20
BRISBANE,13/08/2018,2.6,0.0, ,22.5,7.9,80,10,1.15,17.36
BRISBANE,14/08/2018,2.6,0.0, ,22.7,6.8,82,31,1.23,17.45
BRISBANE,15/08/2018,2.6,0.0, ,25.2,7.6,88,33,1.01,17.57
BRISBANE,16/08/2018,2.9,0.0, ,29.5,7.5,98,10,0.90,17.70
BRISBANE,17/08/2018,2.9,0.0, ,29.3,8.6,95,13,0.95,17.82
BRISBANE,18/08/2018,3.1,0.0, ,28.1,9.4,90,17,1.12,17.92
BRISBANE,19/08/2018,3.9,0.0, ,22.8,8.5,80,13,2.73,18.03
BRISBANE,20/08/2018,3.7,0.0, ,21.9,10.4,64,9,2.21,18.20
BRISBANE,21/08/2018,3.2,0.0, ,23.8,6.8,45,10,1.47,18.33
BRISBANE,22/08/2018,3.4,0.0, ,24.4,5.2,61,11,1.56,18.44
BRISBANE,23/08/2018,2.8,0.0, ,23.1,8.7,84,40,1.36,17.65
BRISBANE,24/08/2018,2.9,0.0, ,24.5,10.8,84,43,1.39,17.24
BRISBANE,25/08/2018,2.6,0.8, ,22.5,12.4,91,45,1.47,14.96
BRISBANE,26/08/2018,1.7,11.2, ,20.2,14.0,95,67,0.58,9.54
BRISBANE,27/08/2018,3.1,10.6, ,24.4,9.6,97,32,1.40,18.62
BRISBANE,28/08/2018,2.7,0.2, ,22.8,11.1,90,40,0.91,18.13
BRISBANE,29/08/2018,3.3,0.0, ,24.8,9.6,93,14,1.30,19.39
BRISBANE,30/08/2018,3.0,0.0, ,23.7,8.7,87,34,1.16,19.26
BRISBANE,31/08/2018,3.4,0.0, ,25.7,10.3,94,41,1.70,19.36
Totals:,,88.2,25.8, ,,,,,, 
