'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for December 2018,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 January 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/12/2018,6.6,0.0, ,33.3,21.6,88,34,1.66,30.67
BRISBANE,02/12/2018,6.3,0.0, ,34.7,22.5,91,48,1.63,28.36
BRISBANE,03/12/2018,6.3,0.0, ,30.5,23.6,80,49,2.50,27.98
BRISBANE,04/12/2018,4.2,0.0, ,30.3,19.9,86,42,1.38,17.52
BRISBANE,05/12/2018,4.7,0.6, ,27.9,20.6,81,51,2.87,19.23
BRISBANE,06/12/2018,5.5,0.0, ,27.5,18.8,73,45,3.23,23.14
BRISBANE,07/12/2018,3.9,0.0, ,25.7,18.6,73,47,2.66,13.39
BRISBANE,08/12/2018,3.8,0.0, ,27.4,19.9,74,49,2.52,12.46
BRISBANE,09/12/2018,5.1,0.0, ,29.1,19.8,84,48,2.43,22.02
BRISBANE,10/12/2018,5.9,0.0, ,29.9,19.4,88,45,1.71,28.89
BRISBANE,11/12/2018,5.7,0.0, ,30.3,19.6,87,42,1.71,26.90
BRISBANE,12/12/2018,6.1,0.0, ,29.4,19.1,89,44,1.87,30.26
BRISBANE,13/12/2018,5.8,0.0, ,30.2,21.7,76,47,2.25,25.62
BRISBANE,14/12/2018,5.1,0.0, ,31.3,23.5,89,55,2.31,21.65
BRISBANE,15/12/2018,5.4,3.0, ,31.0,22.4,92,58,2.44,23.93
BRISBANE,16/12/2018,0.9,9.0, ,25.9,23.5,94,81,2.29,0.53
BRISBANE,17/12/2018,4.1,32.6, ,28.8,20.9,94,64,1.93,18.78
BRISBANE,18/12/2018,4.8,2.8, ,29.8,21.8,94,59,2.02,22.07
BRISBANE,19/12/2018,5.7,0.0, ,30.9,21.9,91,56,1.72,26.96
BRISBANE,20/12/2018,6.7,0.0, ,32.5,23.8,86,49,1.79,31.23
BRISBANE,21/12/2018,6.8,0.0, ,34.9,23.7,91,48,1.84,29.83
BRISBANE,22/12/2018,5.4,3.0, ,35.7,23.2,88,45,1.95,20.95
BRISBANE,23/12/2018,6.2,0.0, ,28.6,19.9,73,42,2.81,28.07
BRISBANE,24/12/2018,5.5,0.0, ,27.9,18.9,78,46,2.35,25.74
BRISBANE,25/12/2018,5.3,0.2, ,28.3,17.4,80,44,1.64,26.41
BRISBANE,26/12/2018,5.8,0.0, ,28.7,17.2,84,41,1.76,29.52
BRISBANE,27/12/2018,6.1,0.0, ,29.5,18.5,79,43,1.87,29.70
BRISBANE,28/12/2018,6.1,0.0, ,29.7,19.2,81,44,2.18,28.62
BRISBANE,29/12/2018,6.4,0.0, ,30.5,19.4,81,39,2.11,29.80
BRISBANE,30/12/2018,6.2,0.0, ,30.6,22.6,80,47,2.17,27.92
BRISBANE,31/12/2018,6.3,0.0, ,31.4,20.5,84,35,2.11,28.41
Totals:,,168.7,51.2, ,,,,,, 
