'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for February 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 March 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/02/2019,5.9,0.0, ,33.3,22.3,84,34,1.88,24.98
BRISBANE,02/02/2019,5.9,1.0, ,32.2,22.9,84,38,2.45,24.07
BRISBANE,03/02/2019,4.9,1.4, ,31.4,21.5,88,40,2.02,19.73
BRISBANE,04/02/2019,5.2,3.0, ,31.3,21.1,89,42,1.93,22.64
BRISBANE,05/02/2019,5.0,2.8, ,32.1,22.3,90,43,2.44,19.30
BRISBANE,06/02/2019,4.6,17.2, ,30.0,21.8,94,50,2.40,19.57
BRISBANE,07/02/2019,4.3,8.2, ,30.5,21.8,91,51,2.09,17.51
BRISBANE,08/02/2019,4.3,2.6, ,30.4,22.8,88,55,1.70,18.54
BRISBANE,09/02/2019,5.9,0.2, ,33.0,21.9,92,48,1.51,27.87
BRISBANE,10/02/2019,6.2,0.0, ,32.8,22.5,86,49,2.41,27.55
BRISBANE,11/02/2019,5.4,0.0, ,31.5,23.6,82,50,1.90,23.86
BRISBANE,12/02/2019,6.4,0.0, ,34.8,24.0,80,46,1.86,27.91
BRISBANE,13/02/2019,6.0,0.8, ,34.3,23.8,83,50,1.82,26.47
BRISBANE,14/02/2019,5.3,0.0, ,31.8,25.4,87,52,3.12,20.54
BRISBANE,15/02/2019,6.3,0.0, ,31.3,23.1,64,42,3.05,24.25
BRISBANE,16/02/2019,5.7,0.0, ,30.9,20.9,68,39,2.43,23.11
BRISBANE,17/02/2019,5.8,0.0, ,32.0,20.0,73,34,1.87,25.82
BRISBANE,18/02/2019,5.0,0.0, ,32.2,20.8,80,41,1.54,22.17
BRISBANE,19/02/2019,5.8,0.0, ,33.7,20.4,85,37,1.35,27.73
BRISBANE,20/02/2019,6.3,0.0, ,33.9,23.5,84,38,1.93,27.50
BRISBANE,21/02/2019,5.8,0.0, ,33.5,25.2,74,47,2.84,21.26
BRISBANE,22/02/2019,6.0,0.2, ,32.0,23.1,85,32,3.22,21.96
BRISBANE,23/02/2019,6.5,0.0, ,31.9,21.5,62,28,3.01,23.91
BRISBANE,24/02/2019,5.6,0.0, ,30.7,20.8,68,33,2.77,20.83
BRISBANE,25/02/2019,4.6,0.2, ,29.4,19.8,82,40,2.69,16.61
BRISBANE,26/02/2019,3.4,0.2, ,26.8,19.7,83,50,1.81,13.91
BRISBANE,27/02/2019,4.1,0.0, ,29.5,18.9,82,40,1.77,16.68
BRISBANE,28/02/2019,3.0,0.2, ,26.8,20.2,81,49,1.39,12.09
Totals:,,149.2,38, ,,,,,, 
