'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for March 2019,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 April 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/03/2019,4.0,1.2, ,29.3,20.1,89,41,1.80,16.61
BRISBANE,02/03/2019,3.5,4.8, ,28.6,19.7,92,50,1.60,15.26
BRISBANE,03/03/2019,4.3,3.2, ,29.6,19.8,93,47,1.91,19.58
BRISBANE,04/03/2019,4.7,1.2, ,30.0,20.2,87,45,2.07,20.92
BRISBANE,05/03/2019,4.5,0.0, ,30.8,20.3,88,43,1.58,20.56
BRISBANE,06/03/2019,4.9,0.2, ,32.8,21.8,89,48,1.33,22.86
BRISBANE,07/03/2019,4.9,0.0, ,34.1,22.4,91,43,2.11,19.37
BRISBANE,08/03/2019,4.4,4.4, ,30.5,22.3,91,55,1.96,19.81
BRISBANE,09/03/2019,5.1,0.0, ,32.0,22.3,88,44,1.55,23.62
BRISBANE,10/03/2019,5.3,0.0, ,33.3,23.0,84,47,1.70,24.15
BRISBANE,11/03/2019,4.7,0.0, ,34.6,23.5,85,45,1.36,20.32
BRISBANE,12/03/2019,4.8,0.2, ,37.7,23.4,87,29,1.22,19.70
BRISBANE,13/03/2019,6.0,0.0, ,35.9,22.9,91,36,2.19,24.51
BRISBANE,14/03/2019,4.2,0.0, ,32.1,23.3,90,51,1.64,17.93
BRISBANE,15/03/2019,4.3,4.2, ,34.0,20.9,93,46,1.50,18.22
BRISBANE,16/03/2019,2.2,39.6, ,26.8,20.6,94,68,1.00,9.23
BRISBANE,17/03/2019,2.5,54.0, ,28.3,20.5,95,64,0.75,11.58
BRISBANE,18/03/2019,3.4,18.4, ,31.3,20.7,94,55,0.71,16.56
BRISBANE,19/03/2019,4.8,18.8, ,34.0,19.1,96,29,1.09,23.57
BRISBANE,20/03/2019,4.5,0.0, ,32.2,21.5,84,47,1.52,20.95
BRISBANE,21/03/2019,4.2,0.0, ,32.3,23.4,85,48,1.46,18.71
BRISBANE,22/03/2019,3.6,0.0, ,30.4,22.9,87,60,1.22,16.96
BRISBANE,23/03/2019,4.7,0.0, ,34.3,23.5,87,44,1.07,22.12
BRISBANE,24/03/2019,4.8,0.0, ,34.8,22.1,92,48,1.25,22.77
BRISBANE,25/03/2019,4.6,0.0, ,33.3,22.6,90,41,1.48,20.64
BRISBANE,26/03/2019,3.6,0.0, ,31.8,24.5,83,50,1.13,15.43
BRISBANE,27/03/2019,1.6,0.4, ,22.8,21.3,92,70,1.30,5.28
BRISBANE,28/03/2019,2.3,18.0, ,25.6,19.4,88,66,1.61,9.56
BRISBANE,29/03/2019,3.7,1.2, ,29.1,19.8,87,54,1.69,17.44
BRISBANE,30/03/2019,1.9,6.6, ,27.9,23.4,92,72,1.24,7.36
BRISBANE,31/03/2019,4.0,4.6, ,27.9,15.3,86,20,1.35,21.61
Totals:,,126,181, ,,,,,, 
