'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for May 2019,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 June 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/05/2019,2.4,2.2, ,26.9,19.2,93,51,1.14,11.96
BRISBANE,02/05/2019,2.3,1.2, ,26.0,18.1,94,56,1.24,12.03
BRISBANE,03/05/2019,2.1,0.6, ,25.6,18.4,92,60,0.85,11.25
BRISBANE,04/05/2019,1.6,0.0, ,24.2,20.2,91,66,0.89,7.38
BRISBANE,05/05/2019,2.6,5.2, ,24.8,13.9,75,34,1.10,16.70
BRISBANE,06/05/2019,2.5,0.0, ,25.4,12.7,88,26,0.85,16.59
BRISBANE,07/05/2019,2.6,0.0, ,26.4,12.6,92,33,1.11,16.47
BRISBANE,08/05/2019,2.7,0.0, ,27.6,13.0,89,29,1.15,16.29
BRISBANE,09/05/2019,2.4,0.0, ,27.2,12.0,81,26,0.83,16.25
BRISBANE,10/05/2019,2.8,0.0, ,27.1,15.1,90,39,1.59,14.51
BRISBANE,11/05/2019,3.7,1.2, ,23.1,13.1,51,24,2.77,16.03
BRISBANE,12/05/2019,2.3,0.0, ,24.8,10.9,77,43,1.15,14.26
BRISBANE,13/05/2019,2.1,0.0, ,25.0,16.2,86,49,1.25,10.00
BRISBANE,14/05/2019,2.1,0.0, ,24.5,16.6,91,55,1.22,12.39
BRISBANE,15/05/2019,2.3,3.4, ,24.7,16.2,92,51,1.65,11.99
BRISBANE,16/05/2019,2.2,0.0, ,25.5,16.5,89,51,1.44,11.27
BRISBANE,17/05/2019,1.9,10.0, ,23.7,16.9,94,60,0.96,11.72
BRISBANE,18/05/2019,2.0,1.6, ,23.8,15.4,91,54,1.12,11.55
BRISBANE,19/05/2019,2.3,0.0, ,25.0,15.8,84,48,1.38,13.22
BRISBANE,20/05/2019,1.8,0.0, ,22.9,16.0,90,67,1.08,10.77
BRISBANE,21/05/2019,2.1,0.0, ,25.0,17.3,93,50,0.90,13.54
BRISBANE,22/05/2019,1.8,0.0, ,23.8,14.5,93,54,0.89,11.48
BRISBANE,23/05/2019,2.0,0.0, ,24.4,14.1,92,55,0.95,13.17
BRISBANE,24/05/2019,1.9,0.0, ,25.1,14.0,93,53,0.80,12.19
BRISBANE,25/05/2019,2.0,0.0, ,24.9,13.7,93,47,0.75,14.37
BRISBANE,26/05/2019,1.9,0.0, ,26.4,14.6,95,48,0.63,13.69
BRISBANE,27/05/2019,2.7,0.0, ,27.5,12.7,95,24,1.53,14.48
BRISBANE,28/05/2019,2.6,0.0, ,22.5,10.9,60,23,1.66,14.59
BRISBANE,29/05/2019,2.6,0.0, ,23.3,7.7,68,23,1.68,14.53
BRISBANE,30/05/2019,2.3,0.0, ,23.5,7.9,74,27,1.44,14.47
BRISBANE,31/05/2019,1.9,0.0, ,20.6,8.0,66,11,0.95,14.23
Totals:,,70.5,25.4, ,,,,,, 
