'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for July 2019,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 August 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/07/2019,1.7,0.0, ,23.5,13.8,95,54,1.01,11.36
BRISBANE,02/07/2019,1.7,0.2, ,23.0,14.0,95,53,0.66,13.69
BRISBANE,03/07/2019,2.0,0.0, ,23.3,12.8,95,48,1.50,12.29
BRISBANE,04/07/2019,2.1,0.0, ,23.7,14.5,90,48,1.78,11.09
BRISBANE,05/07/2019,2.1,4.2, ,22.0,15.4,93,55,2.28,11.28
BRISBANE,06/07/2019,1.6,4.4, ,21.1,14.6,92,63,1.29,9.47
BRISBANE,07/07/2019,1.6,4.6, ,20.9,14.2,94,69,1.10,11.21
BRISBANE,08/07/2019,1.4,0.2, ,20.3,14.3,90,64,0.66,10.18
BRISBANE,09/07/2019,1.7,0.8, ,24.0,12.4,96,43,0.54,14.34
BRISBANE,10/07/2019,1.9,0.0, ,23.7,11.0,95,32,0.84,14.28
BRISBANE,11/07/2019,2.2,0.0, ,24.5,9.1,89,23,1.16,14.45
BRISBANE,12/07/2019,2.0,0.0, ,26.0,7.4,86,25,0.88,14.50
BRISBANE,13/07/2019,2.7,0.0, ,23.8,8.5,89,26,2.05,14.41
BRISBANE,14/07/2019,2.6,0.0, ,20.1,9.3,52,17,1.85,14.62
BRISBANE,15/07/2019,3.2,0.0, ,20.1,9.6,50,27,2.92,14.69
BRISBANE,16/07/2019,2.0,0.0, ,23.2,8.4,68,23,0.96,14.75
BRISBANE,17/07/2019,2.1,0.0, ,23.6,9.5,80,37,1.15,14.82
BRISBANE,18/07/2019,2.4,0.0, ,24.7,8.6,72,12,1.29,14.88
BRISBANE,19/07/2019,1.9,0.0, ,22.9,8.8,87,34,0.74,14.94
BRISBANE,20/07/2019,1.9,0.0, ,23.1,7.9,89,41,0.89,14.52
BRISBANE,21/07/2019,1.9,0.0, ,22.1,9.4,91,42,0.79,14.98
BRISBANE,22/07/2019,2.1,0.0, ,24.3,10.7,87,46,0.93,14.99
BRISBANE,23/07/2019,2.2,0.0, ,27.1,12.0,94,32,0.80,15.26
BRISBANE,24/07/2019,2.7,0.0, ,26.9,10.0,93,13,1.33,15.37
BRISBANE,25/07/2019,2.2,0.0, ,23.9,11.9,92,33,1.23,13.68
BRISBANE,26/07/2019,1.9,0.0, ,23.3,12.1,94,55,0.71,14.68
BRISBANE,27/07/2019,2.1,0.0, ,25.9,12.1,94,33,0.65,15.46
BRISBANE,28/07/2019,2.1,0.0, ,24.1,13.0,94,46,0.99,13.48
BRISBANE,29/07/2019,2.0,0.0, ,24.0,12.8,92,45,0.61,15.34
BRISBANE,30/07/2019,2.5,0.0, ,25.9,11.3,95,28,1.19,15.73
BRISBANE,31/07/2019,2.3,0.0, ,22.4,12.5,80,44,1.34,14.55
Totals:,,64.8,14.4, ,,,,,, 
