'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for August 2019,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 September 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/08/2019,2.0,0.0, ,21.8,12.6,81,50,1.14,11.78
BRISBANE,02/08/2019,2.1,0.0, ,22.1,11.2,85,47,1.26,12.92
BRISBANE,03/08/2019,2.3,0.0, ,23.6,10.4,92,43,1.05,15.52
BRISBANE,04/08/2019,2.3,0.0, ,24.0,10.4,94,32,0.84,16.25
BRISBANE,05/08/2019,2.2,0.0, ,23.4,10.9,93,37,0.85,15.68
BRISBANE,06/08/2019,2.3,0.0, ,24.0,10.0,92,39,0.89,15.76
BRISBANE,07/08/2019,1.7,0.0, ,23.1,12.1,94,53,0.65,9.80
BRISBANE,08/08/2019,3.1,2.8, ,28.7,12.8,96,12,1.30,16.44
BRISBANE,09/08/2019,4.8,0.2, ,25.3,15.9,28,14,3.20,16.89
BRISBANE,10/08/2019,5.1,0.0, ,22.9,16.0,34,22,4.26,16.99
BRISBANE,11/08/2019,4.4,0.0, ,20.6,10.6,40,15,3.68,17.12
BRISBANE,12/08/2019,3.1,0.0, ,22.0,9.4,75,20,1.89,17.23
BRISBANE,13/08/2019,2.5,0.0, ,23.3,8.9,90,40,1.24,15.50
BRISBANE,14/08/2019,2.2,0.0, ,22.7,10.5,91,37,0.99,12.71
BRISBANE,15/08/2019,2.7,0.0, ,23.8,9.9,90,38,1.24,17.51
BRISBANE,16/08/2019,2.7,0.0, ,24.7,12.1,84,32,1.04,16.92
BRISBANE,17/08/2019,2.7,0.0, ,27.7,10.2,91,29,0.74,17.80
BRISBANE,18/08/2019,2.5,0.0, ,24.4,12.7,89,50,1.01,16.19
BRISBANE,19/08/2019,3.6,0.0, ,28.6,12.9,97,17,1.69,17.76
BRISBANE,20/08/2019,3.1,0.0, ,23.1,11.0,71,9,1.38,18.16
BRISBANE,21/08/2019,4.4,0.0, ,26.2,7.7,73,15,2.76,18.30
BRISBANE,22/08/2019,4.5,0.0, ,25.4,13.7,68,21,3.20,18.42
BRISBANE,23/08/2019,3.1,0.0, ,23.7,12.4,76,28,1.48,18.14
BRISBANE,24/08/2019,2.8,0.0, ,23.0,10.2,83,39,1.20,17.65
BRISBANE,25/08/2019,2.9,0.0, ,24.9,10.7,84,41,1.07,18.75
BRISBANE,26/08/2019,3.1,0.0, ,27.2,12.0,91,32,0.99,18.75
BRISBANE,27/08/2019,2.7,0.0, ,25.4,13.1,94,45,0.90,15.81
BRISBANE,28/08/2019,2.0,0.2, ,23.3,16.0,90,50,0.78,9.73
BRISBANE,29/08/2019,1.5,0.0, ,19.7,13.6,94,60,0.77,7.51
BRISBANE,30/08/2019,2.9,0.0, ,23.7,11.9,93,41,1.31,17.13
BRISBANE,31/08/2019,3.2,0.0, ,24.5,11.6,84,29,1.32,18.97
Totals:,,90.5,3.2, ,,,,,, 
