'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for October 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 November 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/10/2019,3.9,0.0, ,25.2,19.1,77,48,2.63,15.63
BRISBANE,02/10/2019,3.9,0.6, ,24.7,15.7,88,40,1.56,20.46
BRISBANE,03/10/2019,4.2,0.0, ,25.9,12.3,87,34,1.20,24.80
BRISBANE,04/10/2019,4.5,0.0, ,26.7,13.6,87,36,1.42,24.93
BRISBANE,05/10/2019,4.9,0.0, ,30.3,13.2,91,31,1.66,24.87
BRISBANE,06/10/2019,4.5,0.0, ,27.1,17.0,81,46,1.51,24.14
BRISBANE,07/10/2019,4.8,0.0, ,30.8,16.1,94,45,1.23,25.24
BRISBANE,08/10/2019,4.2,0.0, ,30.5,20.5,95,39,1.21,19.67
BRISBANE,09/10/2019,4.9,0.0, ,26.0,18.6,79,35,2.72,21.53
BRISBANE,10/10/2019,3.9,0.0, ,24.5,15.2,71,39,1.78,18.72
BRISBANE,11/10/2019,3.3,0.0, ,23.7,14.4,91,45,1.42,16.80
BRISBANE,12/10/2019,2.8,29.2, ,21.3,12.8,93,46,1.23,14.37
BRISBANE,13/10/2019,4.3,1.8, ,25.3,12.9,77,37,1.77,21.78
BRISBANE,14/10/2019,4.2,0.0, ,25.9,14.3,84,48,1.52,22.93
BRISBANE,15/10/2019,4.2,1.2, ,27.2,18.2,90,59,1.74,21.39
BRISBANE,16/10/2019,4.5,0.0, ,28.6,18.9,91,56,1.97,22.04
BRISBANE,17/10/2019,5.3,0.0, ,30.6,19.4,89,45,2.12,24.95
BRISBANE,18/10/2019,5.1,7.0, ,27.2,18.9,91,47,2.19,25.72
BRISBANE,19/10/2019,2.8,0.0, ,26.3,18.1,94,63,0.79,13.43
BRISBANE,20/10/2019,5.3,15.2, ,28.4,16.1,97,41,2.41,26.53
BRISBANE,21/10/2019,5.0,0.0, ,25.0,18.1,77,35,2.13,25.20
BRISBANE,22/10/2019,4.1,0.0, ,25.0,15.4,84,46,1.44,21.61
BRISBANE,23/10/2019,4.9,0.0, ,26.6,16.2,85,43,1.38,26.82
BRISBANE,24/10/2019,5.1,0.0, ,27.2,15.3,87,42,1.47,27.67
BRISBANE,25/10/2019,5.2,0.0, ,27.5,15.2,88,38,1.66,27.73
BRISBANE,26/10/2019,5.6,0.0, ,27.6,16.5,83,40,2.36,27.90
BRISBANE,27/10/2019,5.8,0.0, ,29.6,18.1,79,39,2.11,27.91
BRISBANE,28/10/2019,4.5,0.0, ,27.4,20.3,73,51,2.09,20.10
BRISBANE,29/10/2019,5.4,0.0, ,26.2,18.5,76,44,2.24,26.88
BRISBANE,30/10/2019,3.0,0.0, ,24.7,16.1,85,50,1.15,13.99
BRISBANE,31/10/2019,5.0,0.0, ,26.7,15.6,86,40,1.59,26.37
Totals:,,139.1,55, ,,,,,, 
