'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for December 2019,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 31 December 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/12/2019,5.1,3.6, ,31.4,22.9,84,54,1.63,22.30
BRISBANE,02/12/2019,8.2,3.0, ,34.5,21.8,86,13,3.32,30.82
BRISBANE,03/12/2019,7.2,0.0, ,35.2,20.3,66,12,1.85,30.82
BRISBANE,04/12/2019,6.8,0.0, ,33.9,17.4,69,10,1.70,31.07
BRISBANE,05/12/2019,7.2,0.0, ,37.7,18.7,82,6,1.63,31.14
BRISBANE,06/12/2019,7.1,0.0, ,38.6,18.5,88,9,1.43,31.10
BRISBANE,07/12/2019,7.4,0.0, ,38.1,22.0,87,21,1.84,30.51
BRISBANE,08/12/2019,5.1,0.0, ,32.6,22.9,78,44,2.34,18.41
BRISBANE,09/12/2019,5.4,0.0, ,31.7,22.5,81,49,2.21,22.16
BRISBANE,10/12/2019,6.7,0.0, ,33.5,23.5,84,44,1.95,29.65
BRISBANE,11/12/2019,6.5,0.0, ,34.4,23.1,94,43,2.56,26.52
BRISBANE,12/12/2019,6.2,130.4, ,31.3,19.1,89,53,2.29,29.93
BRISBANE,13/12/2019,4.3,0.0, ,30.6,22.9,91,57,1.70,18.08
BRISBANE,14/12/2019,5.8,26.6, ,30.7,20.4,92,56,1.74,28.20
BRISBANE,15/12/2019,6.5,0.0, ,31.9,23.9,86,58,2.12,30.23
BRISBANE,16/12/2019,8.6,0.0, ,41.2,23.5,80,13,2.42,30.91
BRISBANE,17/12/2019,6.5,0.0, ,29.1,20.9,65,42,2.60,29.57
BRISBANE,18/12/2019,6.4,0.0, ,28.9,19.4,70,39,2.25,30.23
BRISBANE,19/12/2019,6.1,0.0, ,29.6,18.7,78,45,1.50,31.11
BRISBANE,20/12/2019,6.1,0.0, ,30.3,20.1,82,46,1.54,29.93
BRISBANE,21/12/2019,6.2,0.0, ,31.2,20.2,89,47,1.48,30.50
BRISBANE,22/12/2019,5.7,0.0, ,30.1,21.9,80,53,1.82,26.71
BRISBANE,23/12/2019,4.4,0.0, ,30.8,22.5,84,54,1.49,18.81
BRISBANE,24/12/2019,5.2,0.0, ,30.4,24.4,93,58,1.92,23.73
BRISBANE,25/12/2019,3.2,25.2, ,26.6,21.6,93,60,1.55,13.25
BRISBANE,26/12/2019,5.5,14.8, ,29.2,20.8,91,43,1.93,25.71
BRISBANE,27/12/2019,4.4,1.0, ,27.5,20.0,85,49,2.15,19.14
BRISBANE,28/12/2019,4.9,0.0, ,28.9,20.9,77,40,1.84,20.74
BRISBANE,29/12/2019,6.3,0.0, ,29.2,20.3,71,40,1.72,30.71
BRISBANE,30/12/2019,6.0,0.0, ,30.1,20.7,77,38,1.88,27.52
BRISBANE,31/12/2019,5.3,3.2, ,29.4,21.2,93,57,1.60,25.63
Totals:,,186.3,207.8, ,,,,,, 
