'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for January 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 31 January 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/01/2020,6.3,0.4, ,29.9,22.1,87,49,1.88,30.50
BRISBANE,02/01/2020,6.0,0.0, ,30.4,21.8,88,53,1.70,29.20
BRISBANE,03/01/2020,6.2,0.0, ,30.7,20.9,88,46,1.47,30.31
BRISBANE,04/01/2020,6.4,0.0, ,31.4,21.4,83,46,1.64,31.08
BRISBANE,05/01/2020,6.5,0.0, ,31.5,21.9,76,38,1.86,29.74
BRISBANE,06/01/2020,5.4,0.0, ,30.4,22.7,84,51,1.81,24.19
BRISBANE,07/01/2020, ,0.0, , ,23.4,82,50,1.54,25.15
BRISBANE,08/01/2020,6.3, , ,32.1,22.2,82,43,1.40,30.01
BRISBANE,09/01/2020,6.5,0.0, ,31.8,23.4,77,42,1.65,30.26
BRISBANE,10/01/2020,6.5,0.0, ,31.8,23.9,75,44,1.88,29.30
BRISBANE,11/01/2020,4.5,0.0, ,32.0,24.1,91,50,1.66,18.54
BRISBANE,12/01/2020,3.4,15.0, ,29.4,23.3,90,57,2.20,11.83
BRISBANE,13/01/2020,4.5,0.0, ,28.8,22.6,72,48,2.55,15.69
BRISBANE,14/01/2020,5.0,0.0, ,30.1,21.3,74,49,1.95,21.14
BRISBANE,15/01/2020,5.0,1.4, ,29.1,22.1,89,62,1.77,23.66
BRISBANE,16/01/2020,2.8,16.0, ,27.4,22.4,92,69,0.77,12.67
BRISBANE,17/01/2020,4.7,30.8, ,29.6,22.3,92,62,1.79,21.73
BRISBANE,18/01/2020,4.0,71.6, ,28.1,20.7,96,66,1.39,19.36
BRISBANE,19/01/2020,4.8,21.6, ,30.3,22.6,96,61,1.26,22.57
BRISBANE,20/01/2020,5.5,0.8, ,32.4,25.3,89,57,1.83,24.10
BRISBANE,21/01/2020,5.7,2.8, ,32.8,25.5,87,58,1.65,25.59
BRISBANE,22/01/2020,6.4,0.4, ,33.5,23.4,83,49,1.66,29.09
BRISBANE,23/01/2020,3.8,0.0, ,30.7,26.7,87,70,2.11,14.89
BRISBANE,24/01/2020,5.4,1.6, ,32.1,25.5,86,59,1.85,23.61
BRISBANE,25/01/2020,3.7,0.0, ,31.5,26.0,84,63,1.74,14.07
BRISBANE,26/01/2020,5.6,0.0, ,30.0,23.1,86,57,1.86,26.68
BRISBANE,27/01/2020,5.8,1.6, ,30.4,22.6,91,49,1.79,27.40
BRISBANE,28/01/2020,5.3,1.4, ,31.2,23.4,91,56,1.68,24.45
BRISBANE,29/01/2020,6.4,0.2, ,33.4,24.1,85,49,1.57,29.59
BRISBANE,30/01/2020,5.5,0.0, ,32.1,23.8,84,55,1.61,24.59
BRISBANE,31/01/2020,4.5,0.0, ,30.7,22.8,84,57,1.50,19.58
Totals:,,158.4,165.6, ,,,,,, 
