'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for March 2020,,,,,,,,,,
Issued at 22:32 GMT on Wednesday 01 April 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/03/2020,5.1,0.2, ,31.3,21.2,86,46,1.25,25.38
BRISBANE,02/03/2020,5.4,0.0, ,33.4,21.7,89,42,1.06,26.17
BRISBANE,03/03/2020,5.4, , ,32.4,22.4,87,39,1.48,25.64
BRISBANE,04/03/2020,4.1,0.0, ,29.6,23.0,91,58,2.36,17.67
BRISBANE,05/03/2020,4.4,0.0, ,30.5,23.0,86,50,1.73,19.66
BRISBANE,06/03/2020,3.2,0.2, ,31.3,25.6,89,59,1.12,13.16
BRISBANE,07/03/2020,3.9,1.8, ,32.1,24.9,89,51,2.27,13.98
BRISBANE,08/03/2020,4.1,0.0, ,27.8,22.7,72,50,2.66,14.53
BRISBANE,09/03/2020,1.4,0.0, ,21.9,21.0,93,69,1.53,3.26
BRISBANE,10/03/2020,2.8,27.8, ,25.8,18.8,93,72,1.61,13.42
BRISBANE,11/03/2020,4.7,8.4, ,27.6,19.3,86,44,2.42,22.34
BRISBANE,12/03/2020,3.2,0.2, ,26.1,18.8,91,55,2.09,13.50
BRISBANE,13/03/2020,3.6,5.2, ,26.5,17.4,89,49,2.03,15.96
BRISBANE,14/03/2020,3.9,0.0, ,28.2,17.7,79,44,2.05,16.35
BRISBANE,15/03/2020,4.7,0.0, ,28.2,18.7,79,42,2.37,21.04
BRISBANE,16/03/2020,4.7,0.0, ,28.0,18.4,70,37,2.31,20.86
BRISBANE,17/03/2020,3.9,0.0, ,27.0,17.6,74,41,2.12,15.63
BRISBANE,18/03/2020,4.5,0.0, ,27.7,17.3,76,41,1.84,22.30
BRISBANE,19/03/2020,3.9,0.0, ,28.0,17.3,85,47,1.12,20.46
BRISBANE,20/03/2020,4.3,0.0, ,29.5,17.8,88,45,1.09,23.25
BRISBANE,21/03/2020,4.7,0.0, ,33.0,18.6,86,38,1.25,23.22
BRISBANE,22/03/2020,4.6,0.0, ,31.6,21.9,79,46,1.12,22.81
BRISBANE,23/03/2020,2.9,0.0, ,28.2,21.7,88,57,1.93,10.79
BRISBANE,24/03/2020,2.3,0.0, ,25.3,21.7,79,57,1.64,7.37
BRISBANE,25/03/2020,2.7,0.2, ,27.3,19.6,90,52,1.00,12.50
BRISBANE,26/03/2020,3.7,0.2, ,28.5,17.7,89,47,1.27,19.22
BRISBANE,27/03/2020,2.7,1.0, ,26.2,19.5,84,58,1.57,11.27
BRISBANE,28/03/2020,3.8,2.8, ,28.0,18.6,85,52,1.63,19.53
BRISBANE,29/03/2020,3.0,0.2, ,28.4,19.4,91,54,0.89,15.19
BRISBANE,30/03/2020,3.7,1.6, ,29.8,19.2,93,52,0.94,19.63
BRISBANE,31/03/2020,3.6,0.0, ,30.6,20.1,89,49,0.90,18.75
Totals:,,118.9,49.8, ,,,,,, 
