'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for September 2020,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/09/2020,3.3,0.0, ,26.4,12.8,91,39,1.38,18.98
BRISBANE,02/09/2020,3.0,0.0, ,24.1,14.5,89,54,1.21,17.71
BRISBANE,03/09/2020,2.9,0.0, ,25.9,13.9,93,48,1.03,16.07
BRISBANE,04/09/2020,3.4,0.0, ,25.7,15.7,87,42,1.40,18.45
BRISBANE,05/09/2020,3.5,0.0, ,26.0,14.2,88,44,1.35,20.09
BRISBANE,06/09/2020,2.4,0.0, ,25.6,16.4,90,58,1.74,10.04
BRISBANE,07/09/2020,3.7,0.4, ,24.8,16.5,89,45,2.56,17.92
BRISBANE,08/09/2020,3.0,0.2, ,24.4,14.1,90,47,1.56,15.77
BRISBANE,09/09/2020,3.2,0.0, ,24.9,14.1,90,41,1.08,18.75
BRISBANE,10/09/2020,1.9,0.0, ,20.9,13.4,88,58,1.23,8.19
BRISBANE,11/09/2020,3.8,0.8, ,23.1,14.9,87,40,2.87,18.26
BRISBANE,12/09/2020,3.8,0.2, ,24.3,12.6,85,29,1.92,19.61
BRISBANE,13/09/2020,3.0,0.0, ,23.8,13.3,91,53,1.22,17.07
BRISBANE,14/09/2020,3.7,0.8, ,28.1,14.0,92,34,0.99,21.47
BRISBANE,15/09/2020,3.8,0.0, ,25.8,15.0,92,35,1.58,20.32
BRISBANE,16/09/2020,3.6,0.0, ,26.2,14.5,88,40,1.34,19.58
BRISBANE,17/09/2020,3.9,0.0, ,27.1,14.3,92,37,1.14,22.24
BRISBANE,18/09/2020,3.7,0.0, ,26.3,16.1,90,47,1.87,18.39
BRISBANE,19/09/2020,3.7,0.4, ,25.6,16.4,93,43,1.86,18.89
BRISBANE,20/09/2020,3.8,2.2, ,27.8,16.9,93,48,1.03,20.88
BRISBANE,21/09/2020,4.5,0.0, ,29.7,17.0,97,48,1.94,22.87
BRISBANE,22/09/2020,3.9,0.0, ,31.1,19.9,87,47,1.77,16.47
BRISBANE,23/09/2020,3.1,0.0, ,31.4,20.8,88,25,0.95,11.72
BRISBANE,24/09/2020,4.6,0.0, ,28.9,18.7,73,16,1.32,23.07
BRISBANE,25/09/2020,4.4,0.0, ,27.7,14.3,82,48,1.86,23.56
BRISBANE,26/09/2020,5.4,0.8, ,24.9,15.6,76,12,3.05,23.73
BRISBANE,27/09/2020,4.5,0.0, ,25.6,10.3,58,13,1.63,23.89
BRISBANE,28/09/2020,3.8,0.0, ,23.9,12.0,71,41,1.76,19.44
BRISBANE,29/09/2020,3.6,0.0, ,23.9,13.4,74,37,1.57,17.97
BRISBANE,30/09/2020,3.5,0.0, ,24.1,11.0,82,40,1.39,18.68
Totals:,,108.4,5.8, ,,,,,, 
