'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for October 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/10/2020,4.5,0.0, ,27.2,14.6,83,37,1.69,23.83
BRISBANE,02/10/2020,4.8,0.0, ,29.0,15.5,88,30,1.64,24.64
BRISBANE,03/10/2020,4.5,0.0, ,27.6,16.6,85,41,1.88,22.56
BRISBANE,04/10/2020,4.4,0.0, ,26.1,14.6,87,33,1.63,23.35
BRISBANE,05/10/2020,4.6,0.0, ,27.3,16.2,84,34,1.25,24.87
BRISBANE,06/10/2020,4.0,0.0, ,27.9,16.2,87,40,1.13,20.87
BRISBANE,07/10/2020,4.4,0.0, ,27.0,15.8,83,40,1.55,22.38
BRISBANE,08/10/2020,4.5,0.0, ,27.3,15.3,84,43,1.50,23.91
BRISBANE,09/10/2020,4.8,0.0, ,29.5,16.0,87,42,1.42,24.78
BRISBANE,10/10/2020,4.9,0.0, ,28.2,14.7,93,36,1.79,25.29
BRISBANE,11/10/2020,4.7,0.0, ,27.1,16.5,80,42,1.64,24.45
BRISBANE,12/10/2020,3.6,0.0, ,26.1,17.4,77,42,1.41,16.76
BRISBANE,13/10/2020,4.3,0.0, ,27.2,16.5,74,37,1.84,19.61
BRISBANE,14/10/2020,3.2,1.2, ,24.7,15.8,88,52,1.64,15.18
BRISBANE,15/10/2020,4.6,5.0, ,26.9,14.8,79,37,1.54,24.33
BRISBANE,16/10/2020,5.0,0.0, ,29.0,15.0,84,34,1.36,26.77
BRISBANE,17/10/2020,5.0,0.0, ,28.1,16.9,89,38,1.64,25.50
BRISBANE,18/10/2020,5.3,0.0, ,29.2,16.6,81,36,2.05,25.45
BRISBANE,19/10/2020,5.1,1.8, ,29.9,16.9,89,30,1.82,23.29
BRISBANE,20/10/2020,4.9,0.0, ,27.5,18.3,71,33,2.21,21.16
BRISBANE,21/10/2020,4.1,0.0, ,27.4,16.3,78,39,1.07,20.66
BRISBANE,22/10/2020,2.9,2.0, ,25.6,18.5,87,54,0.91,13.41
BRISBANE,23/10/2020,3.9,4.6, ,27.9,19.2,83,39,1.43,17.08
BRISBANE,24/10/2020,2.2,0.4, ,26.8,21.6,94,55,1.30,7.55
BRISBANE,25/10/2020,3.6,37.8, ,29.0,19.4,94,57,1.22,16.91
BRISBANE,26/10/2020,4.5,33.8, ,30.1,19.4,91,48,1.19,21.55
BRISBANE,27/10/2020,2.9,0.2, ,25.1,19.7,95,63,1.64,12.85
BRISBANE,28/10/2020,3.9,72.0, ,27.4,17.6,95,55,1.41,19.49
BRISBANE,29/10/2020,5.0,23.8, ,28.5,16.7,95,34,1.12,26.66
BRISBANE,30/10/2020,5.7,0.2, ,30.0,17.1,97,23,1.58,28.53
BRISBANE,31/10/2020,4.6,0.0, ,30.5,21.8,85,45,2.15,18.31
Totals:,,134.4,182.8, ,,,,,, 
