'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for November 2020,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/11/2020,6.0,8.8, ,32.0,16.0,94,19,1.66,28.77
BRISBANE,02/11/2020,5.1, , ,28.1,18.5,80,37,1.96,23.52
BRISBANE,03/11/2020,5.6,0.0, ,27.4,16.8,77,37,1.91,28.45
BRISBANE,04/11/2020,5.4,0.0, ,27.0,16.6,72,40,1.52,29.06
BRISBANE,05/11/2020,5.5,0.0, ,29.5,18.0,83,37,1.74,26.90
BRISBANE,06/11/2020,5.8,10.4, ,27.0,17.8,65,32,1.95,29.20
BRISBANE,07/11/2020,4.7,0.0, ,27.1,17.0,73,46,1.77,22.77
BRISBANE,08/11/2020,3.1,0.0, ,23.2,18.4,76,47,2.39,9.89
BRISBANE,09/11/2020,5.1,0.0, ,24.9,15.8,77,46,2.05,27.05
BRISBANE,10/11/2020,4.7,0.0, ,26.3,15.6,80,40,1.64,23.82
BRISBANE,11/11/2020,5.3,0.0, ,26.7,15.5,86,42,1.51,29.19
BRISBANE,12/11/2020,5.3,0.0, ,27.5,18.3,79,46,1.55,27.30
BRISBANE,13/11/2020,4.3,0.0, ,27.4,19.9,78,46,1.91,17.93
BRISBANE,14/11/2020,6.0,0.0, ,31.1,19.1,90,46,1.45,29.94
BRISBANE,15/11/2020,5.8,0.0, ,31.0,20.8,94,54,1.62,28.68
BRISBANE,16/11/2020,5.5,0.0, ,31.4,22.8,89,54,1.76,25.56
BRISBANE,17/11/2020,5.3,0.0, ,31.5,22.3,85,48,1.90,22.98
BRISBANE,18/11/2020,5.9,0.8, ,28.4,22.2,68,47,2.96,25.06
BRISBANE,19/11/2020,5.8,0.0, ,28.0,20.4,78,43,2.22,27.75
BRISBANE,20/11/2020,5.8,0.0, ,28.7,17.3,84,42,1.47,30.31
BRISBANE,21/11/2020,6.0,0.0, ,29.9,18.9,81,43,1.52,30.35
BRISBANE,22/11/2020,5.9,0.0, ,30.1,18.5,89,39,1.45,29.79
BRISBANE,23/11/2020,6.5,0.0, ,31.8,19.5,77,38,1.92,30.59
BRISBANE,24/11/2020,6.6,0.0, ,32.2,22.5,72,39,2.55,27.60
BRISBANE,25/11/2020,3.7,0.0, ,27.0,22.4,77,50,2.24,13.16
BRISBANE,26/11/2020,6.0,0.0, ,29.6,19.1,81,46,1.54,30.47
BRISBANE,27/11/2020,5.5,0.0, ,29.1,19.9,83,50,1.55,27.02
BRISBANE,28/11/2020,6.1,0.0, ,30.0,17.8,85,38,1.61,30.72
BRISBANE,29/11/2020,6.6,0.0, ,31.6,20.4,75,39,1.91,30.75
BRISBANE,30/11/2020,6.7,0.0, ,31.6,21.3,77,47,2.77,29.98
Totals:,,165.6,20, ,,,,,, 
