'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for February 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 March 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/02/2021,5.5,1.4, ,29.7,22.5,83,47,2.19,24.47
BRISBANE,02/02/2021,1.4,19.8, ,25.7,21.4,95,78,0.70,4.67
BRISBANE,03/02/2021,5.3,44.6, ,29.1,20.4,91,39,1.94,24.64
BRISBANE,04/02/2021,5.5,0.2, ,30.0,19.7,85,47,1.67,26.65
BRISBANE,05/02/2021,4.9,0.2, ,29.7,21.0,87,52,1.45,23.42
BRISBANE,06/02/2021,5.4,0.0, ,31.1,21.0,85,49,1.19,26.46
BRISBANE,07/02/2021,5.9,0.0, ,35.2,23.0,79,44,1.23,26.87
BRISBANE,08/02/2021,4.1,0.6, ,29.6,23.5,86,51,2.62,14.92
BRISBANE,09/02/2021,5.2,0.0, ,29.1,21.8,73,39,2.35,21.15
BRISBANE,10/02/2021,4.9,0.0, ,28.5,18.8,77,38,1.84,21.92
BRISBANE,11/02/2021,3.9,0.0, ,27.6,19.9,78,51,1.58,17.37
BRISBANE,12/02/2021,4.8,0.0, ,30.1,20.7,77,49,1.15,23.29
BRISBANE,13/02/2021,5.5,0.0, ,30.7,21.7,74,49,1.88,25.39
BRISBANE,14/02/2021,3.4,1.6, ,30.2,21.8,91,53,1.77,12.92
BRISBANE,15/02/2021,5.4,0.2, ,29.2,20.7,76,47,1.87,25.57
BRISBANE,16/02/2021,4.3,0.0, ,28.9,20.7,85,50,1.75,19.34
BRISBANE,17/02/2021,5.2,5.4, ,28.6,19.5,81,53,2.49,24.92
BRISBANE,18/02/2021,3.2,16.6, ,27.4,19.9,92,62,1.90,13.52
BRISBANE,19/02/2021,3.6,12.2, ,29.0,20.8,93,63,1.35,16.46
BRISBANE,20/02/2021,3.5,0.4, ,29.6,22.2,90,55,1.04,15.57
BRISBANE,21/02/2021,5.7,1.2, ,33.7,22.3,83,36,1.70,25.10
BRISBANE,22/02/2021,6.0,0.0, ,33.6,22.1,88,40,1.67,27.34
BRISBANE,23/02/2021,5.8,8.2, ,32.1,23.3,93,39,1.67,26.70
BRISBANE,24/02/2021,4.7,10.6, ,29.8,20.9,88,54,2.24,21.36
BRISBANE,25/02/2021,3.6,16.8, ,28.7,22.2,92,65,1.44,16.77
BRISBANE,26/02/2021,5.2,0.2, ,31.8,22.5,87,53,1.22,25.00
BRISBANE,27/02/2021,3.5,0.0, ,30.8,23.2,87,55,1.00,15.04
BRISBANE,28/02/2021,4.5,4.0, ,31.4,24.1,91,54,1.04,21.04
Totals:,,129.9,144.2, ,,,,,, 
