'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for March 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 April 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/03/2021,2.4,0.0, ,29.6,24.1,85,60,0.70,9.64
BRISBANE,02/03/2021,5.4,0.0, ,33.2,22.1,90,48,1.38,25.49
BRISBANE,03/03/2021,2.8,6.2, ,26.5,22.5,88,62,1.99,10.24
BRISBANE,04/03/2021,3.3,0.6, ,26.7,20.1,88,55,1.60,14.46
BRISBANE,05/03/2021,4.8,0.0, ,30.8,18.0,85,45,1.03,24.99
BRISBANE,06/03/2021,3.9,0.0, ,28.5,20.9,79,53,1.71,17.33
BRISBANE,07/03/2021,4.2,0.0, ,28.4,21.1,81,57,1.55,20.17
BRISBANE,08/03/2021,4.8,0.0, ,29.6,21.8,82,53,1.73,23.07
BRISBANE,09/03/2021,4.0,25.6, ,30.4,21.3,93,57,1.26,19.19
BRISBANE,10/03/2021,4.7,0.0, ,30.6,20.8,86,54,1.79,22.36
BRISBANE,11/03/2021,2.5,0.0, ,28.5,22.3,89,62,1.07,9.97
BRISBANE,12/03/2021,3.6,0.8, ,28.0,20.6,92,60,1.23,17.62
BRISBANE,13/03/2021,4.3,0.4, ,29.4,21.4,90,55,1.23,21.92
BRISBANE,14/03/2021,4.8,0.2, ,30.8,21.5,88,52,1.49,23.87
BRISBANE,15/03/2021,1.5,6.6, ,23.0,22.5,93,76,1.08,5.76
BRISBANE,16/03/2021,2.5,12.4, ,25.4,19.1,93,56,1.39,10.12
BRISBANE,17/03/2021,1.2,11.6, ,22.3,18.9,95,86,0.59,4.45
BRISBANE,18/03/2021,3.1,15.4, ,27.8,19.4,95,60,1.29,14.61
BRISBANE,19/03/2021,3.3,0.0, ,28.7,20.7,91,58,0.99,16.33
BRISBANE,20/03/2021,3.2,20.8, ,28.6,21.9,94,61,1.02,15.14
BRISBANE,21/03/2021,2.7,1.0, ,28.5,22.0,96,66,1.74,11.63
BRISBANE,22/03/2021,1.2,125.0, ,23.2,21.1,96,87,1.13,4.51
BRISBANE,23/03/2021,1.5,52.6, ,27.8,21.4,97,87,1.69,5.70
BRISBANE,24/03/2021,4.2,21.4, ,30.9,21.4,96,45,2.04,18.06
BRISBANE,25/03/2021,4.6,0.0, ,31.1,16.7,93,30,1.61,22.64
BRISBANE,26/03/2021,4.1,0.0, ,30.5,19.1,84,36,1.27,19.92
BRISBANE,27/03/2021,3.8,0.0, ,29.8,20.4,87,38,0.96,19.09
BRISBANE,28/03/2021,4.0,0.0, ,30.7,18.9,90,30,0.92,21.58
BRISBANE,29/03/2021,4.0,0.0, ,30.0,19.8,82,40,1.11,20.27
BRISBANE,30/03/2021,2.9,0.0, ,26.3,19.9,87,57,1.49,13.37
BRISBANE,31/03/2021,3.6,0.0, ,27.1,17.3,84,48,1.66,17.70
Totals:,,106.9,300.6, ,,,,,, 
