'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for April 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 May 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/04/2021,3.0,0.0, ,26.2,18.0,89,52,1.42,14.87
BRISBANE,02/04/2021,3.8,2.8, ,26.6,17.9,90,47,2.35,18.03
BRISBANE,03/04/2021,2.4,0.0, ,25.4,20.5,91,59,1.88,8.99
BRISBANE,04/04/2021,1.2,8.4, ,22.5,19.6,94,86,0.91,4.37
BRISBANE,05/04/2021,1.7,9.4, ,23.3,20.1,96,82,1.81,7.45
BRISBANE,06/04/2021,2.0,45.4, ,24.3,20.9,95,80,2.14,9.29
BRISBANE,07/04/2021,3.4,20.6, ,27.5,19.6,94,56,1.75,17.33
BRISBANE,08/04/2021,3.6,0.0, ,28.1,19.2,86,52,1.46,18.83
BRISBANE,09/04/2021,3.6,0.0, ,30.6,18.3,91,44,0.81,20.25
BRISBANE,10/04/2021,3.8,0.0, ,33.0,17.7,93,27,0.92,20.09
BRISBANE,11/04/2021,3.5,0.0, ,29.2,18.3,79,30,1.55,14.96
BRISBANE,12/04/2021,3.4,0.2, ,24.6,13.2,74,37,1.52,18.97
BRISBANE,13/04/2021,3.1,0.0, ,24.9,14.7,88,42,1.19,18.14
BRISBANE,14/04/2021,3.1,0.0, ,26.3,13.6,89,44,0.89,19.16
BRISBANE,15/04/2021,3.4,0.0, ,28.4,15.0,90,34,1.13,19.36
BRISBANE,16/04/2021,3.8,0.0, ,30.5,17.1,86,36,1.51,18.90
BRISBANE,17/04/2021,2.1,0.0, ,24.7,19.5,91,60,1.31,8.90
BRISBANE,18/04/2021,3.0,24.6, ,24.9,15.0,87,49,1.20,18.06
BRISBANE,19/04/2021,3.0,0.2, ,26.5,14.4,89,35,1.00,18.11
BRISBANE,20/04/2021,3.2,0.0, ,27.6,14.6,91,34,1.20,18.26
BRISBANE,21/04/2021,3.5,0.0, ,30.1,14.5,93,22,1.28,18.48
BRISBANE,22/04/2021,2.3,0.0, ,22.0,12.0,80,37,1.35,10.79
BRISBANE,23/04/2021,2.9,0.0, ,25.0,11.6,88,27,1.04,18.17
BRISBANE,24/04/2021,2.9,0.0, ,25.1,12.2,91,44,1.27,17.83
BRISBANE,25/04/2021,2.8,0.0, ,26.6,13.7,91,35,0.88,17.90
BRISBANE,26/04/2021,2.7,0.0, ,24.8,15.0,90,46,1.20,16.18
BRISBANE,27/04/2021,2.9,0.0, ,25.8,16.0,81,44,1.45,15.27
BRISBANE,28/04/2021,2.4,0.0, ,24.6,15.7,85,53,1.35,12.64
BRISBANE,29/04/2021,2.8,0.6, ,25.1,15.7,89,50,1.39,16.36
BRISBANE,30/04/2021,2.1,0.0, ,24.2,17.1,92,63,1.57,10.82
Totals:,,87.4,112.2, ,,,,,, 
