'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for May 2021,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 June 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/05/2021,1.6,6.2, ,22.3,16.7,93,70,1.35,7.55
BRISBANE,02/05/2021,2.2,12.0, ,23.1,17.1,94,64,1.09,13.30
BRISBANE,03/05/2021,2.4,2.4, ,25.5,16.6,93,58,1.18,14.50
BRISBANE,04/05/2021,2.6,0.2, ,26.3,15.7,98,38,0.89,16.40
BRISBANE,05/05/2021,1.3,17.6, ,18.2,15.7,96,63,1.44,5.16
BRISBANE,06/05/2021,3.1,18.8, ,23.7,12.5,77,49,2.55,16.52
BRISBANE,07/05/2021,2.5,0.0, ,25.6,12.9,91,50,1.26,15.02
BRISBANE,08/05/2021,2.3,0.0, ,27.0,15.9,90,46,0.58,14.96
BRISBANE,09/05/2021,2.0,0.0, ,26.6,16.7,93,56,0.47,12.79
BRISBANE,10/05/2021,2.4,0.0, ,28.1,16.3,94,53,0.70,15.36
BRISBANE,11/05/2021,2.6,0.0, ,27.8,15.6,92,47,1.00,15.97
BRISBANE,12/05/2021,1.9,7.8, ,26.1,17.9,95,64,0.97,9.84
BRISBANE,13/05/2021,2.9,24.8, ,24.1,16.4,95,37,2.15,15.77
BRISBANE,14/05/2021,2.9,0.0, ,24.8,13.8,68,34,1.75,15.67
BRISBANE,15/05/2021,2.7,0.0, ,24.2,11.2,80,28,1.64,15.57
BRISBANE,16/05/2021,2.2,0.0, ,22.0,11.7,88,31,1.12,15.48
BRISBANE,17/05/2021,2.4,0.0, ,22.6,8.7,86,21,1.36,15.31
BRISBANE,18/05/2021,2.4,0.0, ,23.3,11.4,74,50,1.65,14.77
BRISBANE,19/05/2021,2.0,0.0, ,22.1,14.5,80,58,1.31,11.81
BRISBANE,20/05/2021,2.1,0.0, ,24.0,13.0,88,45,1.09,13.57
BRISBANE,21/05/2021,2.4,0.0, ,23.4,12.2,89,40,1.60,14.79
BRISBANE,22/05/2021,2.4,0.0, ,24.0,14.0,82,44,1.68,14.10
BRISBANE,23/05/2021,2.3,0.0, ,24.4,14.0,87,48,1.39,14.30
BRISBANE,24/05/2021,2.2,0.0, ,24.0,13.7,87,41,1.45,12.74
BRISBANE,25/05/2021,2.0,0.0, ,23.9,14.1,91,48,0.99,13.69
BRISBANE,26/05/2021,2.0,0.0, ,25.6,12.5,94,42,0.81,14.56
BRISBANE,27/05/2021,2.1,0.0, ,24.3,13.7,91,39,1.07,13.83
BRISBANE,28/05/2021,2.1,0.0, ,21.7,11.2,83,38,1.29,14.55
BRISBANE,29/05/2021,2.2,0.0, ,21.0,11.0,76,38,1.56,14.04
BRISBANE,30/05/2021,2.1,0.0, ,21.2,11.6,72,45,1.53,12.59
BRISBANE,31/05/2021,1.7,0.0, ,21.5,12.1,86,52,0.79,12.64
Totals:,,70,89.8, ,,,,,, 
