'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for August 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 September 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/08/2021, ,0.0, , ,10.3,97,52,0.64,16.09
BRISBANE,02/08/2021,2.0, , ,24.6,14.1,100,60,1.12,12.61
BRISBANE,03/08/2021,1.9,0.0, ,25.2,16.3,94,56,1.00,10.06
BRISBANE,04/08/2021,3.5,0.0, ,20.2,13.1,65,30,3.20,16.42
BRISBANE,05/08/2021,3.0,0.0, ,21.1,8.6,67,32,2.27,16.53
BRISBANE,06/08/2021,2.4,0.0, ,22.5,9.5,83,34,1.08,16.62
BRISBANE,07/08/2021, ,0.0, , ,9.2,84,37,0.91,15.74
BRISBANE,08/08/2021,2.4,0.0, ,23.2,7.0,90,47,1.51,15.84
BRISBANE,09/08/2021,2.2,1.4, ,21.1,14.1,93,45,1.50,12.06
BRISBANE,10/08/2021,2.0,0.0, ,21.4,12.3,90,48,1.22,11.61
BRISBANE,11/08/2021,2.2,0.2, ,22.4,11.4,90,53,0.94,14.76
BRISBANE,12/08/2021,2.5,0.0, ,23.9,12.4,95,54,1.04,17.23
BRISBANE,13/08/2021,2.6,0.2, ,25.9,15.4,91,46,0.85,16.24
BRISBANE,14/08/2021,2.5,1.8, ,25.1,15.2,97,51,1.02,15.63
BRISBANE,15/08/2021,2.6,0.0, ,25.5,14.3,97,50,1.11,15.58
BRISBANE,16/08/2021,3.1,0.0, ,26.8,13.8,95,34,1.51,17.15
BRISBANE,17/08/2021,3.0,0.0, ,24.9,12.1,77,18,1.27,17.90
BRISBANE,18/08/2021,1.6,0.0, ,19.2,12.8,87,57,0.82,8.31
BRISBANE,19/08/2021,2.3,0.0, ,22.5,11.2,91,49,1.11,14.69
BRISBANE,20/08/2021,2.7,0.2, ,24.8,11.7,92,44,0.93,17.48
BRISBANE,21/08/2021,2.9,0.0, ,26.4,12.0,93,41,0.96,18.41
BRISBANE,22/08/2021,2.9,0.0, ,25.7,12.7,89,43,1.02,18.52
BRISBANE,23/08/2021,2.9,0.0, ,24.9,13.7,95,51,1.42,17.91
BRISBANE,24/08/2021,3.5,4.2, ,21.0,13.8,85,29,3.44,13.70
BRISBANE,25/08/2021, ,0.4, , ,10.0,60,32,2.83,18.94
BRISBANE,26/08/2021, , , , , ,63,19,1.81,18.94
BRISBANE,27/08/2021, , , ,23.4, ,70,20,1.68,19.20
BRISBANE,28/08/2021,3.1,0.0, ,24.7,8.3,79,25,1.15,19.30
BRISBANE,29/08/2021,3.1,0.0, ,24.7,10.4,84,36,1.33,17.91
BRISBANE,30/08/2021,3.2,0.0, ,28.0,10.4,94,14,0.94,19.56
BRISBANE,31/08/2021,2.8,0.0, ,25.7,14.6,90,54,0.97,16.30
Totals:,,68.9,8.4, ,,,,,, 
