'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for September 2021,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 October 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/09/2021,3.3,0.0, ,26.8,16.9,99,49,0.99,19.29
BRISBANE,02/09/2021,3.1,3.4, ,23.7,16.4,96,43,1.50,16.98
BRISBANE,03/09/2021,2.9,0.2, ,24.5,15.2,93,40,1.42,15.28
BRISBANE,04/09/2021,3.1,2.2, ,24.3,14.4,95,53,1.23,18.95
BRISBANE,05/09/2021,2.5,0.0, ,24.4,15.0,92,50,1.69,10.54
BRISBANE,06/09/2021,3.6,0.2, ,23.8,11.1,69,20,1.48,20.07
BRISBANE,07/09/2021,3.5,0.0, ,24.2,10.8,84,20,1.27,20.68
BRISBANE,08/09/2021,3.2,0.0, ,23.9,9.8,90,35,1.36,19.30
BRISBANE,09/09/2021,3.3,0.0, ,25.0,12.3,91,43,1.24,19.95
BRISBANE,10/09/2021,3.6,0.0, ,30.1,12.1,89,23,0.88,21.00
BRISBANE,11/09/2021,3.6,0.0, ,25.9,12.3,89,42,1.41,21.20
BRISBANE,12/09/2021,3.7,0.0, ,26.1,12.0,93,42,1.60,21.33
BRISBANE,13/09/2021,3.5,0.0, ,28.9,14.7,89,44,1.11,18.62
BRISBANE,14/09/2021,4.6,0.8, ,22.5,14.2,74,17,2.85,21.63
BRISBANE,15/09/2021,4.1,0.0, ,24.9,10.6,74,23,1.85,21.85
BRISBANE,16/09/2021,3.6,0.0, ,24.1,11.4,83,32,1.33,21.01
BRISBANE,17/09/2021,3.6,0.0, ,24.8,12.0,85,40,1.33,21.10
BRISBANE,18/09/2021,3.6,0.0, ,25.2,13.5,88,47,1.44,20.70
BRISBANE,19/09/2021,4.0,0.0, ,28.2,15.5,86,34,1.13,22.41
BRISBANE,20/09/2021,4.0,0.0, ,26.9,15.2,94,49,1.49,22.48
BRISBANE,21/09/2021, ,0.0, , ,16.9,67,18,3.74,22.51
BRISBANE,22/09/2021, ,0.0, , , , , , ,22.62
BRISBANE,23/09/2021, , , , , , , , ,23.11
BRISBANE,24/09/2021, , , ,27.0, ,97,35,1.35,23.22
BRISBANE,25/09/2021,3.9,0.0, ,28.8,12.1,98,35,0.93,21.93
BRISBANE,26/09/2021,3.7,0.0, ,26.0,16.6,89,47,2.41,16.44
BRISBANE,27/09/2021,2.3,0.4, ,19.8,15.2,91,53,2.10,9.28
BRISBANE,28/09/2021,2.7,0.0, ,21.8,13.9,73,42,1.21,12.96
BRISBANE,29/09/2021,2.6,0.2, ,23.6,13.0,81,49,1.33,11.88
BRISBANE,30/09/2021,3.3,3.4, ,26.7,17.1,92,54,1.65,15.84
Totals:,,88.9,10.8, ,,,,,, 
