'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for October 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 November 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/10/2021,3.3,15.0, ,27.7,15.6,93,42,1.28,15.49
BRISBANE,02/10/2021,4.4,8.8, ,28.9,12.6,95,23,1.26,23.48
BRISBANE,03/10/2021,4.6,0.0, ,30.9,14.0,97,23,1.17,24.26
BRISBANE,04/10/2021,5.8,0.0, ,36.6,15.3,100,15,1.72,24.98
BRISBANE,05/10/2021,5.7,0.0, ,31.0,15.8,55,10,1.93,25.19
BRISBANE,06/10/2021,4.9,0.0, ,27.1,14.6,87,17,1.67,25.33
BRISBANE,07/10/2021,4.1,0.0, ,26.4,14.2,89,47,1.32,22.77
BRISBANE,08/10/2021,5.0,0.6, ,29.1,16.8,93,33,1.63,25.59
BRISBANE,09/10/2021,4.6,0.0, ,27.7,17.9,95,44,1.49,24.52
BRISBANE,10/10/2021,5.3,0.0, ,28.1,19.8,81,46,2.24,25.82
BRISBANE,11/10/2021,4.5,0.0, ,28.3,18.9,94,42,1.65,21.69
BRISBANE,12/10/2021,2.4,35.2, ,22.4,16.1,95,62,1.34,11.55
BRISBANE,13/10/2021,3.5,0.6, ,24.9,16.8,94,61,2.18,17.61
BRISBANE,14/10/2021,3.5,51.4, ,26.2,17.1,96,57,1.86,17.27
BRISBANE,15/10/2021,5.0,0.8, ,30.1,18.1,86,21,1.50,23.83
BRISBANE,16/10/2021,5.5,0.2, ,27.7,12.1,72,19,2.12,26.78
BRISBANE,17/10/2021,4.8,0.0, ,27.6,12.5,77,25,1.11,26.90
BRISBANE,18/10/2021,3.1,0.0, ,26.1,17.0,94,60,1.30,14.69
BRISBANE,19/10/2021,4.9,18.0, ,28.4,14.9,95,37,1.16,26.82
BRISBANE,20/10/2021,4.7,0.0, ,27.3,16.0,99,49,1.70,25.25
BRISBANE,21/10/2021,3.9,2.4, ,26.7,16.6,91,54,1.54,19.47
BRISBANE,22/10/2021,4.1,9.2, ,26.9,18.4,97,64,1.58,21.84
BRISBANE,23/10/2021,4.6,0.2, ,29.8,20.8,90,60,1.63,22.18
BRISBANE,24/10/2021,6.1,2.6, ,33.3,20.5,98,21,1.89,26.62
BRISBANE,25/10/2021,3.7,0.2, ,27.5,20.1,92,59,1.38,17.46
BRISBANE,26/10/2021,3.9,1.4, ,27.1,20.4,86,54,1.57,17.86
BRISBANE,27/10/2021,5.1,0.0, ,28.3,20.2,87,55,1.74,25.73
BRISBANE,28/10/2021,5.6,0.0, ,30.1,22.9,83,53,1.83,26.60
BRISBANE,29/10/2021,3.2,0.4, ,29.5,22.1,88,43,1.11,12.35
BRISBANE,30/10/2021,5.3,0.4, ,33.0,20.1,90,38,1.33,24.61
BRISBANE,31/10/2021,4.0,12.0, ,23.6,19.4,95,52,2.42,19.37
Totals:,,139.1,159.4, ,,,,,, 
