'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for November 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 December 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/11/2021,3.8,0.0, ,24.1,16.0,78,38,1.76,16.59
BRISBANE,02/11/2021,4.0,0.0, ,25.4,17.6,75,50,1.76,18.27
BRISBANE,03/11/2021,4.0,0.2, ,24.3,17.2,86,50,1.71,20.07
BRISBANE,04/11/2021,4.9,0.0, ,25.3,14.6,89,43,1.65,26.72
BRISBANE,05/11/2021,3.6,0.0, ,25.3,17.4,86,49,1.53,16.54
BRISBANE,06/11/2021,4.0,1.2, ,25.3,17.7,92,57,1.49,21.05
BRISBANE,07/11/2021,4.5,0.0, ,27.2,20.3,82,55,1.85,21.31
BRISBANE,08/11/2021,3.2,12.6, ,28.4,20.8,96,63,1.14,14.22
BRISBANE,09/11/2021,4.4,2.4, ,29.1,21.9,97,57,1.58,20.82
BRISBANE,10/11/2021,4.3,0.0, ,29.5,22.9,89,65,2.09,19.11
BRISBANE,11/11/2021,3.4,2.4, ,31.4,23.4,95,59,1.24,13.76
BRISBANE,12/11/2021,3.4,26.6, ,29.5,22.9,94,38,1.59,11.98
BRISBANE,13/11/2021,7.3,0.2, ,27.4,17.2,54,22,3.88,29.84
BRISBANE,14/11/2021,5.9,0.0, ,28.3,12.1,74,22,1.84,29.91
BRISBANE,15/11/2021,5.9,0.0, ,30.5,12.8,90,17,1.48,29.94
BRISBANE,16/11/2021,5.2,0.0, ,29.4,16.3,81,19,1.26,25.79
BRISBANE,17/11/2021,4.2,0.0, ,26.2,19.7,80,54,2.74,17.12
BRISBANE,18/11/2021,4.6,0.6, ,25.9,19.4,83,51,1.63,22.92
BRISBANE,19/11/2021,5.3,0.0, ,27.8,16.5,91,50,1.34,28.72
BRISBANE,20/11/2021,5.8,0.0, ,30.1,18.4,87,51,1.63,29.39
BRISBANE,21/11/2021,3.2,0.0, ,27.5,22.0,81,53,1.16,13.04
BRISBANE,22/11/2021,3.1,23.6, ,25.9,19.3,96,61,1.38,13.81
BRISBANE,23/11/2021,4.0,13.2, ,26.8,19.4,97,66,1.79,20.26
BRISBANE,24/11/2021,4.3,121.0, ,27.5,20.2,97,68,1.35,21.86
BRISBANE,25/11/2021,2.1,13.2, ,26.1,21.4,100,78,0.99,8.81
BRISBANE,26/11/2021,4.2,9.8, ,28.6,22.8,94,69,1.62,19.64
BRISBANE,27/11/2021,3.5,0.2, ,27.7,21.9,95,60,1.55,15.15
BRISBANE,28/11/2021,4.9,0.0, ,28.1,20.8,80,52,2.07,22.45
BRISBANE,29/11/2021,3.8,0.0, ,27.0,21.0,89,59,2.13,16.49
BRISBANE,30/11/2021,1.5,30.2, ,23.0,20.5,96,87,1.16,5.71
Totals:,,126.3,257.4, ,,,,,, 
