'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for January 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 February 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/01/2022,2.4,0.0, ,26.6,20.9,90,75,1.14,10.10
BRISBANE,02/01/2022,4.0,0.0, ,27.7,19.5,91,52,1.68,17.82
BRISBANE,03/01/2022,5.8,0.0, ,30.2,20.5,74,45,2.90,23.43
BRISBANE,04/01/2022,6.4,0.0, ,31.8,22.9,72,47,2.79,26.45
BRISBANE,05/01/2022,5.3,0.2, ,30.3,23.4,88,59,2.31,23.76
BRISBANE,06/01/2022,4.3,3.8, ,30.0,23.2,94,56,2.77,16.79
BRISBANE,07/01/2022,3.2,0.0, ,28.8,24.8,88,68,3.67,9.75
BRISBANE,08/01/2022,1.9,9.4, ,27.6,23.7,94,73,1.55,6.34
BRISBANE,09/01/2022,4.5,0.6, ,30.3,23.5,95,60,1.56,20.01
BRISBANE,10/01/2022,5.8, , ,30.4,21.5,88,50,2.00,27.00
BRISBANE,11/01/2022,5.7,0.2, ,29.8,22.6,89,45,2.16,25.48
BRISBANE,12/01/2022,5.3,0.0, ,29.7,19.4,86,47,1.84,24.48
BRISBANE,13/01/2022,5.8,0.2, ,29.8,20.4,83,43,1.85,27.26
BRISBANE,14/01/2022,5.4,0.0, ,29.6,19.8,79,52,1.68,26.23
BRISBANE,15/01/2022,5.8,0.0, ,30.7,19.9,90,48,1.66,28.41
BRISBANE,16/01/2022,6.1,4.2, ,31.4,21.2,90,52,1.81,29.37
BRISBANE,17/01/2022,6.0, , ,32.4,23.5,85,48,1.67,27.28
BRISBANE,18/01/2022,5.8,0.0, ,31.5,24.0,85,52,1.62,26.41
BRISBANE,19/01/2022, ,0.0, , ,22.7,91,41,1.36,24.25
BRISBANE,20/01/2022, , , ,26.7, ,95,71,1.95,12.77
BRISBANE,21/01/2022,5.3,19.2, ,28.0,21.0,88,43,2.98,22.14
BRISBANE,22/01/2022,4.4,1.6, ,27.7,19.3,84,53,1.81,20.03
BRISBANE,23/01/2022,4.6,2.0, ,28.3,19.3,86,53,1.67,21.56
BRISBANE,24/01/2022,4.9,0.0, ,29.8,19.4,89,51,1.51,23.25
BRISBANE,25/01/2022,4.6,0.0, ,30.5,21.8,82,50,1.24,20.84
BRISBANE,26/01/2022,1.8,2.0, ,26.6,23.2,94,77,1.00,6.47
BRISBANE,27/01/2022,3.9,15.2, ,28.4,22.1,89,50,1.63,16.33
BRISBANE,28/01/2022,4.9,3.0, ,30.1,21.5,95,51,1.97,21.98
BRISBANE,29/01/2022,5.4,0.4, ,31.2,21.4,89,49,1.96,24.18
BRISBANE,30/01/2022,5.5,0.2, ,31.6,21.1,88,52,2.07,25.08
BRISBANE,31/01/2022,5.3,0.0, ,32.0,22.6,88,51,1.48,24.25
Totals:,,140.1,62.2, ,,,,,, 
