'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for February 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 March 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/02/2022,6.0,0.0, ,34.7,24.8,84,50,1.60,26.11
BRISBANE,02/02/2022,3.9,0.0, ,35.5,25.3,94,48,1.06,14.89
BRISBANE,03/02/2022,2.7,27.2, ,30.7,24.1,94,61,1.23,10.20
BRISBANE,04/02/2022,4.8,20.6, ,28.4,19.7,84,49,2.55,20.96
BRISBANE,05/02/2022,4.8,0.0, ,27.4,18.3,75,43,2.49,19.82
BRISBANE,06/02/2022,4.6,0.0, ,26.9,19.2,84,51,2.58,20.37
BRISBANE,07/02/2022,5.8,0.8, ,29.2,19.1,82,40,2.38,26.75
BRISBANE,08/02/2022,5.2,0.0, ,28.3,18.0,81,43,1.66,25.67
BRISBANE,09/02/2022,5.5,0.0, ,30.0,18.6,84,42,1.44,27.39
BRISBANE,10/02/2022,5.8,0.0, ,31.2,19.4,89,33,1.40,28.57
BRISBANE,11/02/2022,5.9,0.0, ,31.3,19.1,81,37,2.06,27.03
BRISBANE,12/02/2022,4.5,0.0, ,28.9,20.4,81,49,1.89,19.48
BRISBANE,13/02/2022,5.7,7.2, ,29.3,18.6,83,43,2.47,27.00
BRISBANE,14/02/2022,3.8,0.6, ,27.9,19.2,92,58,1.80,17.39
BRISBANE,15/02/2022,3.4,5.6, ,27.1,19.3,93,57,1.88,14.86
BRISBANE,16/02/2022,5.2,0.2, ,28.7,20.4,82,47,2.02,24.61
BRISBANE,17/02/2022,5.0,0.0, ,29.8,19.1,88,47,1.34,24.83
BRISBANE,18/02/2022,5.4,0.0, ,31.9,20.3,95,47,1.06,26.93
BRISBANE,19/02/2022,4.8,19.2, ,31.0,20.2,94,50,1.83,21.96
BRISBANE,20/02/2022,3.8,10.4, ,27.6,21.1,95,62,1.46,18.10
BRISBANE,21/02/2022,4.7,0.2, ,30.1,20.6,92,51,1.32,23.12
BRISBANE,22/02/2022,4.0,2.2, ,30.3,21.2,97,50,1.52,17.98
BRISBANE,23/02/2022,3.8,38.6, ,28.7,21.1,96,63,1.93,17.38
BRISBANE,24/02/2022,3.7,13.4, ,28.1,22.7,97,69,2.91,16.63
BRISBANE,25/02/2022,0.8,64.0, ,24.2,22.6,96,88,2.49,0.80
BRISBANE,26/02/2022,0.9,225.6, ,23.9,21.4,97,90,2.05,1.88
BRISBANE,27/02/2022, ,228.4, ,23.6,20.1,97,92,2.24, 
BRISBANE,28/02/2022,4.3,222.8, ,29.9,19.7,95,58,1.79,20.54
Totals:,,118.8,887, ,,,,,, 
