'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for April 2022,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 May 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/04/2022,4.1,0.0, ,28.5,19.2,81,40,1.41,21.35
BRISBANE,02/04/2022,3.3,0.0, ,27.6,17.4,92,55,1.04,18.31
BRISBANE,03/04/2022,3.9,0.0, ,29.4,18.6,95,48,1.17,20.75
BRISBANE,04/04/2022,3.2,0.0, ,28.6,20.0,96,52,0.88,16.65
BRISBANE,05/04/2022,3.9,0.0, ,30.2,18.8,97,48,1.20,20.87
BRISBANE,06/04/2022,3.7,0.0, ,28.4,20.7,86,50,1.60,18.62
BRISBANE,07/04/2022,3.8,1.0, ,27.7,18.6,88,50,1.81,19.30
BRISBANE,08/04/2022,3.8,0.0, ,27.8,19.1,90,50,2.15,18.47
BRISBANE,09/04/2022,3.0,2.2, ,26.6,19.1,92,63,1.61,15.34
BRISBANE,10/04/2022,3.6,3.2, ,28.1,18.5,93,51,1.48,18.91
BRISBANE,11/04/2022,3.5,0.0, ,29.5,18.4,95,47,1.08,19.06
BRISBANE,12/04/2022,3.4,0.0, ,29.7,19.8,91,48,1.44,16.75
BRISBANE,13/04/2022,3.0,0.0, ,27.1,19.0,88,54,1.39,14.74
BRISBANE,14/04/2022,3.4,1.2, ,26.2,16.7,89,44,1.91,16.89
BRISBANE,15/04/2022,3.3,0.2, ,26.5,17.0,88,48,1.89,16.79
BRISBANE,16/04/2022,3.4,0.0, ,26.7,17.2,84,43,1.83,16.34
BRISBANE,17/04/2022,2.9,0.0, ,25.7,17.4,87,55,1.48,15.63
BRISBANE,18/04/2022,3.0,0.0, ,27.0,16.8,92,46,1.20,16.49
BRISBANE,19/04/2022,3.1,0.0, ,27.6,16.0,97,48,1.04,18.19
BRISBANE,20/04/2022,3.4,0.0, ,30.1,17.1,94,48,1.26,18.63
BRISBANE,21/04/2022,3.2,0.0, ,27.4,17.0,80,53,1.68,16.22
BRISBANE,22/04/2022,3.1,0.0, ,26.3,18.9,90,47,1.84,14.92
BRISBANE,23/04/2022,2.8,1.0, ,23.2,17.6,92,67,2.04,16.81
BRISBANE,24/04/2022,2.5,3.4, ,23.9,16.5,89,64,1.86,13.58
BRISBANE,25/04/2022,1.9,11.6, ,20.1,16.9,95,68,1.32,11.34
BRISBANE,26/04/2022,1.7,12.2, ,22.6,17.2,86,62,0.91,7.93
BRISBANE,27/04/2022,2.7,0.2, ,26.0,16.6,93,55,1.25,15.27
BRISBANE,28/04/2022,2.5,4.4, ,25.8,17.9,97,64,1.00,15.12
BRISBANE,29/04/2022,2.6,1.0, ,27.1,18.6,96,58,1.24,14.55
BRISBANE,30/04/2022,2.7,1.0, ,27.3,18.8,96,54,0.82,16.06
Totals:,,94.4,42.6, ,,,,,, 
